train_env,eval_env,algorithm,training_seed,checkpoint_steps,episodes,success_rate,collision_rate,road_collision_rate,drowning_rate,timeout_rate,avg_reward,avg_steps,avg_max_row,wait_pct,forward_pct,backward_pct,left_pct,right_pct,model_path
v8,v9,ppo,0,1000000,100,0.04,0.32,0.21,0.11,0.64,-1.5610999999999973,69.11,2.45,0.7955433367095934,0.0761105484010997,0.1053393141368832,0.021270438431486,0.0017363623209376,results/runs/v8/ppo_seed0/final_model
v8,v9,ppo,1,1000000,100,0.22,0.77,0.5,0.27,0.01,5.8239,9.61,5.64,0.413111342351717,0.586888657648283,0.0,0.0,0.0,results/runs/v8/ppo_seed1/final_model
v8,v9,ppo,2,1000000,100,0.09,0.91,0.3,0.61,0.0,3.4637000000000024,5.63,3.98,0.0088809946714031,0.738898756660746,0.0923623445825932,0.1385435168738898,0.0213143872113676,results/runs/v8/ppo_seed2/final_model
v8,v9,ppo,3,1000000,100,0.17,0.75,0.44,0.31,0.08,4.353599999999999,18.64,4.84,0.5026824034334764,0.2945278969957081,0.1121244635193133,0.0584763948497854,0.0321888412017167,results/runs/v8/ppo_seed3/final_model
v8,v9,ppo,4,1000000,100,0.03,0.51,0.3,0.21,0.46,-0.5875999999999977,53.76,2.61,0.9200148809523808,0.0485491071428571,0.0,0.0269717261904761,0.0044642857142857,results/runs/v8/ppo_seed4/final_model
v8,v9,trpo,0,1000000,100,0.19,0.81,0.47,0.34,0.0,5.6308000000000025,13.92,5.63,0.444683908045977,0.444683908045977,0.1106321839080459,0.0,0.0,results/runs/v8/trpo_seed0/final_model
v8,v9,trpo,1,1000000,100,0.11,0.87,0.52,0.35,0.02,4.560000000000001,14.0,5.12,0.6278571428571429,0.3671428571428571,0.005,0.0,0.0,results/runs/v8/trpo_seed1/final_model
v8,v9,trpo,2,1000000,100,0.09,0.91,0.31,0.6,0.0,3.532699999999999,9.73,4.09,0.4809866392600205,0.4203494347379239,0.0,0.0030832476875642,0.0955806783144912,results/runs/v8/trpo_seed2/final_model
v8,v9,trpo,3,1000000,100,0.13,0.87,0.54,0.33,0.0,4.491200000000001,7.88,4.79,0.3337563451776649,0.6218274111675127,0.0304568527918781,0.0012690355329949,0.0126903553299492,results/runs/v8/trpo_seed3/final_model
v8,v9,trpo,4,1000000,100,0.18,0.82,0.59,0.23,0.0,5.835499999999997,10.45,5.86,0.2526315789473684,0.5645933014354066,0.0066985645933014,0.1119617224880382,0.0641148325358851,results/runs/v8/trpo_seed4/final_model
v8,v9,dqn,0,1000000,100,0.04,0.79,0.35,0.44,0.17,1.5637000000000023,23.63,3.24,0.1570038087177317,0.1527719001269572,0.0173508252221752,0.5598815065594583,0.1129919593736775,results/runs/v8/dqn_seed0/final_model
v8,v9,dqn,1,1000000,100,0.04,0.91,0.46,0.45,0.05,1.6014000000000013,23.86,2.8,0.2296730930427493,0.1492036881810561,0.2611064543168482,0.2070410729253981,0.152975691533948,results/runs/v8/dqn_seed1/final_model
v8,v9,dqn,2,1000000,100,0.0,0.26,0.01,0.25,0.74,-3.770499999999999,89.05,1.08,0.19606962380685,0.0170690623245367,0.1032004491858506,0.6424480628860191,0.0412128017967434,results/runs/v8/dqn_seed2/final_model
v8,v9,dqn,3,1000000,100,0.01,0.85,0.33,0.52,0.14,1.1583000000000012,26.17,2.92,0.2136033626289644,0.161253343523118,0.0542606037447458,0.2930836836071838,0.2777990064959877,results/runs/v8/dqn_seed3/final_model
v8,v9,dqn,4,1000000,100,0.01,0.54,0.25,0.29,0.45,-0.8382999999999974,62.83,2.53,0.209613242081808,0.0751233487187649,0.0749641890816489,0.4220913576317046,0.2182078624860735,results/runs/v8/dqn_seed4/final_model
v8,v9,qrdqn,0,1000000,100,0.02,0.65,0.26,0.39,0.33,0.1173000000000005,39.27,2.71,0.1599185128596893,0.0756302521008403,0.0094219505984211,0.0313216195569136,0.7237076648841355,results/runs/v8/qrdqn_50q_seed0/final_model
v8,v9,qrdqn,1,1000000,100,0.01,0.6,0.24,0.36,0.39,-0.6100999999999968,71.01,2.6,0.1925080974510632,0.0430925221799746,0.140261934938741,0.4985213350232361,0.1256161104069849,results/runs/v8/qrdqn_50q_seed1/final_model
v8,v9,qrdqn,2,1000000,100,0.0,0.28,0.2,0.08,0.72,-3.3938,76.38,1.25,0.1334118879287771,0.0441214977742864,0.0811730819586279,0.5247446975648076,0.2165488347735009,results/runs/v8/qrdqn_50q_seed2/final_model
v8,v9,qrdqn,3,1000000,100,0.01,0.65,0.21,0.44,0.34,-0.7001999999999995,46.02,2.06,0.1310299869621903,0.1051716644936983,0.3215993046501521,0.1981747066492829,0.2440243372446762,results/runs/v8/qrdqn_50q_seed3/final_model
v8,v9,qrdqn,4,1000000,100,0.0,0.16,0.12,0.04,0.84,-4.8404,93.04,0.45,0.0483662940670679,0.0068787618228718,0.3926268271711092,0.3302880481513328,0.2218400687876182,results/runs/v8/qrdqn_50q_seed4/final_model
v9,v8,ppo,0,1000000,100,0.61,0.39,0.08,0.31,0.0,10.1751,12.49,7.64,0.2457966373098478,0.6124899919935949,0.044035228182546,0.0400320256204963,0.0576461168935148,results/runs/v9/ppo_seed0/final_model
v9,v8,ppo,1,1000000,100,0.7,0.3,0.04,0.26,0.0,11.004900000000005,15.51,7.96,0.1528046421663443,0.513217279174726,0.0,0.1618310767246937,0.172147001934236,results/runs/v9/ppo_seed1/final_model
v9,v8,ppo,2,1000000,100,0.82,0.18,0.01,0.17,0.0,12.322899999999995,13.71,8.54,0.1480671043034281,0.6229029905178701,0.0386579139314369,0.0970094821298322,0.0933625091174325,results/runs/v9/ppo_seed2/final_model
