algorithm,condition,condition_label,n_seeds,success_mean,success_std,reward_mean,reward_std,max_row_mean,max_row_std,road_collision_mean,drowning_mean,timeout_mean
dqn,all_river,All river,5,0.78,0.07842193570679065,11.629800000000001,0.785950803167733,8.056000000000001,0.3256224807963971,0.0,0.22000000000000003,0.0
dqn,river_heavy,1 road / 3 rivers,5,0.616,0.08502940667792522,9.993680000000001,0.8597962997129049,7.468000000000001,0.3815363678602606,0.154,0.22000000000000003,0.01
dqn,standard,Standard mixture,5,0.46399999999999997,0.07765307463326872,8.538620000000002,0.7650597800172237,6.9879999999999995,0.3749266594948936,0.332,0.186,0.018
dqn,road_heavy,3 roads / 1 river,5,0.34199999999999997,0.0804363102087608,7.1995200000000015,0.9863598035199926,6.414,0.4812795445476568,0.5740000000000001,0.064,0.02
dqn,all_road,All road,5,0.258,0.03271085446759226,6.217620000000002,0.41131854687091357,5.8759999999999994,0.24955961211702538,0.73,0.0,0.012
ppo,all_river,All river,5,0.614,0.03049590136395384,10.131939999999998,0.22596030182312987,7.574,0.09914635646356335,0.0,0.386,0.0
ppo,river_heavy,1 road / 3 rivers,5,0.572,0.048682645778552344,9.86186,0.5366224911425158,7.595999999999999,0.21407942451342668,0.16999999999999998,0.252,0.006
ppo,standard,Standard mixture,5,0.5,0.0758287544405155,9.12384,0.6800502540253912,7.298,0.18512158166999318,0.308,0.186,0.006
ppo,road_heavy,3 roads / 1 river,5,0.392,0.05069516742254629,8.25292,0.5119801968826526,7.075999999999999,0.19021040980976806,0.558,0.044,0.006
ppo,all_road,All road,5,0.26,0.04358898943540674,6.579660000000001,0.37493256460328933,6.1979999999999995,0.23177575369309042,0.732,0.0,0.008
qrdqn,all_river,All river,5,0.55,0.09082951062292474,9.57744,0.9329228145993625,7.414,0.40457384987168904,0.0,0.45,0.0
qrdqn,river_heavy,1 road / 3 rivers,5,0.46399999999999997,0.07127411872482182,8.697780000000005,0.6468788348678631,7.162000000000001,0.23445681905203797,0.182,0.34199999999999997,0.012
qrdqn,standard,Standard mixture,5,0.33599999999999997,0.06308724118234998,7.183020000000004,0.4794727802493079,6.587999999999999,0.12357184145265461,0.354,0.272,0.038
qrdqn,road_heavy,3 roads / 1 river,5,0.2,0.05431390245600108,5.639600000000004,0.7395144826168036,6.01,0.2704625667259707,0.608,0.132,0.06
qrdqn,all_road,All road,5,0.13799999999999998,0.07328028384224505,4.472460000000005,1.1664989768533873,5.272,0.3874532229831105,0.7859999999999999,0.0,0.076
trpo,all_river,All river,5,0.622,0.048682645778552386,10.144939999999998,0.5471701499533742,7.531999999999999,0.2900344807087602,0.0,0.378,0.0
trpo,river_heavy,1 road / 3 rivers,5,0.584,0.047222875812470394,9.921780000000002,0.3815364097959723,7.566,0.1596245595138793,0.134,0.27999999999999997,0.002
trpo,standard,Standard mixture,5,0.49000000000000005,0.06782329983125267,9.049680000000004,0.6667580198242846,7.3,0.32810059433045835,0.296,0.20600000000000002,0.008
trpo,road_heavy,3 roads / 1 river,5,0.43,0.07778174593052022,8.56336,0.7126081552999526,7.217999999999999,0.3629325006113395,0.512,0.046,0.012
trpo,all_road,All road,5,0.362,0.12794530081249564,7.761800000000003,1.2933612894315363,6.814,0.6282356245868264,0.632,0.0,0.006
