algorithm,condition,n_seeds,success_mean,success_std,reward_mean,max_row_mean,road_collision_mean,drowning_mean,timeout_mean
dqn,river_heavy,5,0.616,0.08502940667792522,9.993680000000001,7.468000000000001,0.154,0.22000000000000003,0.01
dqn,road_heavy,5,0.34199999999999997,0.0804363102087608,7.1995200000000015,6.414,0.5740000000000001,0.064,0.02
dqn,standard,5,0.46399999999999997,0.07765307463326872,8.538620000000002,6.9879999999999995,0.332,0.186,0.018
ppo,river_heavy,5,0.572,0.048682645778552344,9.86186,7.595999999999999,0.16999999999999998,0.252,0.006
ppo,road_heavy,5,0.392,0.05069516742254629,8.25292,7.075999999999999,0.558,0.044,0.006
ppo,standard,5,0.5,0.0758287544405155,9.12384,7.298,0.308,0.186,0.006
qrdqn,river_heavy,5,0.46399999999999997,0.07127411872482182,8.697780000000005,7.162000000000001,0.182,0.34199999999999997,0.012
qrdqn,road_heavy,5,0.2,0.05431390245600108,5.639600000000004,6.01,0.608,0.132,0.06
qrdqn,standard,5,0.33599999999999997,0.06308724118234998,7.183020000000004,6.587999999999999,0.354,0.272,0.038
trpo,river_heavy,5,0.584,0.047222875812470394,9.921780000000002,7.566,0.134,0.27999999999999997,0.002
trpo,road_heavy,5,0.43,0.07778174593052022,8.56336,7.217999999999999,0.512,0.046,0.012
trpo,standard,5,0.49000000000000005,0.06782329983125267,9.049680000000004,7.3,0.296,0.20600000000000002,0.008
