algorithm,speed_scale,n_seeds,success_mean,success_std,reward_mean,reward_std,max_row_mean,max_row_std,road_collision_mean,drowning_mean,timeout_mean
dqn,0.8,5,0.502,0.09731392500562291,8.872660000000003,0.9343726467528893,7.087999999999999,0.4482967767004351,0.296,0.186,0.016
dqn,1.0,5,0.46399999999999997,0.07765307463326872,8.538620000000002,0.7650597800172237,6.9879999999999995,0.3749266594948936,0.332,0.186,0.018
dqn,1.2,5,0.37,0.04898979485566356,7.593639999999999,0.46919985400679914,6.546000000000001,0.24694128856876088,0.376,0.246,0.008
dqn,1.4,5,0.31,0.055677643628300216,6.952040000000002,0.5329958752185631,6.304,0.2668894902389375,0.418,0.254,0.018
ppo,0.8,5,0.49000000000000005,0.0418330013267038,8.974700000000002,0.3933044876428452,7.184,0.18555322686496176,0.348,0.162,0.0
ppo,1.0,5,0.5,0.0758287544405155,9.12384,0.6800502540253912,7.298,0.18512158166999318,0.308,0.186,0.006
ppo,1.2,5,0.386,0.06913754406977442,8.190879999999998,0.5971910431344406,7.0200000000000005,0.1839836949297411,0.446,0.16599999999999998,0.002
ppo,1.4,5,0.278,0.058051701094799985,7.020260000000002,0.7093892499890295,6.498,0.37870833104118506,0.532,0.186,0.004
qrdqn,0.8,5,0.322,0.03271085446759225,7.144300000000004,0.47919346301885224,6.62,0.22192341021172196,0.394,0.248,0.036000000000000004
qrdqn,1.0,5,0.33599999999999997,0.06308724118234998,7.183020000000004,0.4794727802493079,6.587999999999999,0.12357184145265461,0.354,0.272,0.038
qrdqn,1.2,5,0.272,0.08228000972289684,6.375060000000003,0.5934051508033942,6.188000000000001,0.19331321734428816,0.392,0.29,0.046
qrdqn,1.4,5,0.27,0.024494897427831785,6.508320000000003,0.4229372967710436,6.35,0.11979148550710914,0.396,0.286,0.048
trpo,0.8,5,0.484,0.10853570840972109,8.960920000000002,1.0066592010208824,7.234,0.401907949660118,0.302,0.21000000000000002,0.004
trpo,1.0,5,0.49000000000000005,0.06782329983125267,9.049680000000004,0.6667580198242846,7.3,0.32810059433045835,0.296,0.20600000000000002,0.008
trpo,1.2,5,0.40599999999999997,0.07503332592921627,8.310740000000003,0.6952706688765197,7.023999999999999,0.2750999818247903,0.392,0.202,0.0
trpo,1.4,5,0.28600000000000003,0.0618869937870632,7.099000000000002,0.7315054579427276,6.566,0.40432660065842807,0.462,0.244,0.008
