algorithm,speed_scale,success_mean_v10,success_mean_v9,success_std_v10,success_std_v9,absolute_improvement,relative_improvement
dqn,0.8,0.476,0.502,0.15290519938837918,0.09731392500562291,-0.026000000000000023,0.948207171314741
dqn,1.0,0.44799999999999995,0.46399999999999997,0.15417522498767433,0.07765307463326872,-0.016000000000000014,0.9655172413793103
dqn,1.2,0.378,0.37,0.11519548602267367,0.04898979485566356,0.008000000000000007,1.0216216216216216
dqn,1.4,0.296,0.31,0.10285912696499032,0.055677643628300216,-0.014000000000000012,0.9548387096774194
ppo,0.8,0.49000000000000005,0.49000000000000005,0.02449489742783178,0.0418330013267038,0.0,1.0
ppo,1.0,0.48600000000000004,0.5,0.0568330889535313,0.0758287544405155,-0.013999999999999957,0.9720000000000001
ppo,1.2,0.42400000000000004,0.386,0.04505552130427524,0.06913754406977442,0.038000000000000034,1.0984455958549224
ppo,1.4,0.298,0.278,0.025884358211089552,0.058051701094799985,0.019999999999999962,1.0719424460431652
qrdqn,0.8,0.38,0.322,0.10535653752852739,0.03271085446759225,0.057999999999999996,1.1801242236024845
qrdqn,1.0,0.364,0.33599999999999997,0.12501999840025596,0.06308724118234998,0.028000000000000025,1.0833333333333335
qrdqn,1.2,0.292,0.272,0.08012490249604053,0.08228000972289684,0.019999999999999962,1.0735294117647058
qrdqn,1.4,0.296,0.27,0.05770615218501405,0.024494897427831785,0.025999999999999968,1.096296296296296
trpo,0.8,0.516,0.484,0.059413803110051816,0.10853570840972109,0.03200000000000003,1.0661157024793388
trpo,1.0,0.534,0.49000000000000005,0.05683308895353129,0.06782329983125267,0.043999999999999984,1.089795918367347
trpo,1.2,0.41600000000000004,0.40599999999999997,0.04159326868617086,0.07503332592921627,0.010000000000000064,1.0246305418719213
trpo,1.4,0.312,0.28600000000000003,0.03193743884534262,0.0618869937870632,0.025999999999999968,1.0909090909090908
