environment,algorithm,training_seed,speed_scale,success_rate,avg_reward,avg_max_row,road_collision_rate,drowning_rate,timeout_rate
v9,ppo,0,0.8,0.5,9.2142,7.36,0.33,0.17,0.0
v9,ppo,0,1.0,0.5,9.224899999999998,7.36,0.31,0.19,0.0
v9,ppo,0,1.2,0.34,7.957999999999997,7.04,0.45,0.21,0.0
v9,ppo,0,1.4,0.32,7.742900000000001,6.96,0.57,0.11,0.0
v9,ppo,1,0.8,0.43,8.541699999999999,7.11,0.39,0.18,0.0
v9,ppo,1,1.0,0.38,8.0379,7.0,0.39,0.21,0.02
v9,ppo,1,1.2,0.29,7.289899999999998,6.73,0.55,0.15,0.01
v9,ppo,1,1.4,0.25,6.691900000000003,6.4,0.53,0.2,0.02
v9,ppo,2,0.8,0.54,9.337200000000005,7.23,0.33,0.13,0.0
v9,ppo,2,1.0,0.57,9.6905,7.41,0.21,0.22,0.0
v9,ppo,2,1.2,0.46,8.865299999999998,7.24,0.38,0.16,0.0
v9,ppo,2,1.4,0.33,7.390499999999999,6.54,0.51,0.16,0.0
v9,ppo,3,0.8,0.51,9.228,7.32,0.32,0.17,0.0
v9,ppo,3,1.0,0.56,9.6878,7.47,0.32,0.12,0.0
v9,ppo,3,1.2,0.42,8.411500000000004,7.02,0.43,0.15,0.0
v9,ppo,3,1.4,0.3,7.328500000000004,6.66,0.5,0.2,0.0
v9,ppo,4,0.8,0.47,8.5524,6.9,0.37,0.16,0.0
v9,ppo,4,1.0,0.49,8.9781,7.25,0.31,0.19,0.01
v9,ppo,4,1.2,0.42,8.429699999999999,7.07,0.42,0.16,0.0
v9,ppo,4,1.4,0.19,5.947500000000004,5.93,0.55,0.26,0.0
v9,trpo,0,0.8,0.63,10.3815,7.79,0.17,0.2,0.0
v9,trpo,0,1.0,0.57,9.970600000000005,7.79,0.25,0.17,0.01
v9,trpo,0,1.2,0.5,9.096600000000004,7.27,0.29,0.21,0.0
v9,trpo,0,1.4,0.34,7.554300000000004,6.85,0.4,0.23,0.03
v9,trpo,1,0.8,0.39,8.1347,6.93,0.39,0.22,0.0
v9,trpo,1,1.0,0.39,8.146800000000002,6.93,0.39,0.22,0.0
v9,trpo,1,1.2,0.35,7.682200000000002,6.71,0.44,0.21,0.0
v9,trpo,1,1.4,0.31,7.1895999999999995,6.45,0.47,0.22,0.0
v9,trpo,2,0.8,0.57,9.661000000000003,7.52,0.19,0.22,0.02
v9,trpo,2,1.0,0.53,9.310900000000006,7.44,0.22,0.22,0.03
v9,trpo,2,1.2,0.47,9.007300000000006,7.35,0.34,0.19,0.0
v9,trpo,2,1.4,0.33,7.896600000000002,7.07,0.42,0.25,0.0
v9,trpo,3,0.8,0.41,8.202200000000003,6.87,0.38,0.21,0.0
v9,trpo,3,1.0,0.47,8.847800000000005,7.16,0.34,0.19,0.0
v9,trpo,3,1.2,0.33,7.6951,6.85,0.51,0.16,0.0
v9,trpo,3,1.4,0.26,6.866700000000002,6.43,0.51,0.23,0.0
v9,trpo,4,0.8,0.42,8.425199999999998,7.06,0.38,0.2,0.0
v9,trpo,4,1.0,0.49,8.972300000000002,7.18,0.28,0.23,0.0
v9,trpo,4,1.2,0.38,8.072500000000002,6.94,0.38,0.24,0.0
v9,trpo,4,1.4,0.19,5.987800000000004,6.03,0.51,0.29,0.01
v9,dqn,0,0.8,0.52,8.962700000000003,6.98,0.29,0.19,0.0
v9,dqn,0,1.0,0.51,8.905999999999999,7.0,0.31,0.18,0.0
v9,dqn,0,1.2,0.37,7.530400000000001,6.45,0.42,0.21,0.0
v9,dqn,0,1.4,0.35,7.365900000000006,6.39,0.42,0.23,0.0
v9,dqn,1,0.8,0.55,9.5309,7.47,0.32,0.11,0.02
v9,dqn,1,1.0,0.47,8.6873,7.1,0.35,0.16,0.02
v9,dqn,1,1.2,0.37,7.747499999999998,6.7,0.36,0.26,0.01
v9,dqn,1,1.4,0.28,6.6979999999999995,6.27,0.44,0.25,0.03
v9,dqn,2,0.8,0.41,7.943800000000002,6.69,0.36,0.21,0.02
v9,dqn,2,1.0,0.42,8.169199999999998,6.85,0.4,0.16,0.02
v9,dqn,2,1.2,0.33,7.196999999999998,6.36,0.41,0.25,0.01
v9,dqn,2,1.4,0.3,6.878299999999999,6.32,0.43,0.24,0.03
v9,dqn,3,0.8,0.63,10.005000000000004,7.64,0.17,0.16,0.04
v9,dqn,3,1.0,0.56,9.474500000000008,7.51,0.2,0.2,0.04
v9,dqn,3,1.2,0.45,8.316200000000004,6.9,0.31,0.22,0.02
v9,dqn,3,1.4,0.38,7.576600000000005,6.64,0.41,0.18,0.03
v9,dqn,4,0.8,0.4,7.920900000000005,6.66,0.34,0.26,0.0
v9,dqn,4,1.0,0.36,7.456100000000001,6.48,0.4,0.23,0.01
v9,dqn,4,1.2,0.33,7.177099999999999,6.32,0.38,0.29,0.0
v9,dqn,4,1.4,0.24,6.241400000000002,5.9,0.39,0.37,0.0
v9,qrdqn,0,0.8,0.34,7.563399999999998,6.86,0.36,0.28,0.02
v9,qrdqn,0,1.0,0.24,6.649700000000004,6.48,0.42,0.33,0.01
v9,qrdqn,0,1.2,0.26,6.4699,6.15,0.4,0.33,0.01
v9,qrdqn,0,1.4,0.28,6.8986,6.49,0.39,0.32,0.01
v9,qrdqn,1,0.8,0.31,7.091700000000003,6.74,0.45,0.19,0.05
v9,qrdqn,1,1.0,0.33,7.1338000000000035,6.57,0.37,0.27,0.03
v9,qrdqn,1,1.2,0.14,5.429000000000005,5.88,0.51,0.34,0.01
v9,qrdqn,1,1.4,0.25,6.351700000000005,6.3,0.42,0.29,0.04
v9,qrdqn,2,0.8,0.34,7.385100000000008,6.58,0.36,0.3,0.0
v9,qrdqn,2,1.0,0.37,7.702900000000007,6.73,0.38,0.25,0.0
v9,qrdqn,2,1.2,0.28,6.666300000000003,6.21,0.43,0.29,0.0
v9,qrdqn,2,1.4,0.28,6.952800000000001,6.46,0.41,0.31,0.0
v9,qrdqn,3,0.8,0.35,7.339500000000006,6.65,0.35,0.26,0.04
v9,qrdqn,3,1.0,0.41,7.638900000000006,6.7,0.23,0.3,0.06
v9,qrdqn,3,1.2,0.35,7.0176000000000025,6.36,0.21,0.4,0.04
