algorithm,condition,condition_label,n_seeds,success_mean,success_std,reward_mean,reward_std,max_row_mean,max_row_std,road_collision_mean,drowning_mean,timeout_mean
dqn,standard,Standard,5,0.46399999999999997,0.07765307463326872,8.538620000000002,0.7650597800172237,6.9879999999999995,0.3749266594948936,0.332,0.186,0.018
dqn,separated,Separated,5,0.488,0.04207136793592527,9.083040000000002,0.570687868278273,7.336,0.37700132625761384,0.33399999999999996,0.176,0.002
dqn,clustered,Clustered OOD,5,0.22199999999999998,0.023874672772626646,5.670060000000001,0.3129169666221375,5.506,0.22700220263248558,0.49399999999999994,0.276,0.008
ppo,standard,Standard,5,0.5,0.0758287544405155,9.12384,0.6800502540253912,7.298,0.18512158166999318,0.308,0.186,0.006
ppo,separated,Separated,5,0.58,0.038078865529319564,10.100360000000004,0.3207476391183608,7.764,0.1656200470957547,0.3,0.12000000000000002,0.0
ppo,clustered,Clustered OOD,5,0.21800000000000003,0.06058052492344383,5.998880000000001,0.6644356116283956,5.788,0.3246074552440223,0.514,0.268,0.0
qrdqn,standard,Standard,5,0.33599999999999997,0.06308724118234998,7.183020000000004,0.4794727802493079,6.587999999999999,0.12357184145265461,0.354,0.272,0.038
qrdqn,separated,Separated,5,0.34199999999999997,0.085848704125339,7.711060000000005,0.9249884907392089,6.946,0.4200357127673791,0.362,0.286,0.01
qrdqn,clustered,Clustered OOD,5,0.16999999999999998,0.06782329983125268,4.739120000000004,1.7308931211949485,5.151999999999999,0.7765758172902375,0.49000000000000005,0.296,0.044
trpo,standard,Standard,5,0.49000000000000005,0.06782329983125267,9.049680000000004,0.6667580198242846,7.3,0.32810059433045835,0.296,0.20600000000000002,0.008
trpo,separated,Separated,5,0.48999999999999994,0.09407443861113389,9.262800000000002,0.9167988383500522,7.473999999999999,0.40549969173847733,0.32599999999999996,0.182,0.002
trpo,clustered,Clustered OOD,5,0.262,0.03193743884534264,6.559980000000001,0.476743460364167,6.114,0.3019602622862818,0.472,0.262,0.004
