#{"t_start": 1787209357.326056, "env_id": "None"}
r,l,t,success,collision,max_y
-0.08,8,0.641808,False,True,1
-0.04,4,0.644362,False,True,1
-0.19,19,0.653148,False,True,1
-0.11,11,0.657873,False,True,1
-0.05,5,0.659928,False,True,1
-0.04,4,0.661819,False,True,1
-0.01,1,0.662202,False,True,1
-0.05,5,0.664919,False,True,1
0.81,19,0.673075,False,True,2
-0.04,4,0.673891,False,True,1
-0.02,2,0.675857,False,True,1
0.95,5,0.678334,False,True,2
-0.01,1,0.678556,False,True,1
-0.06,6,0.680922,False,True,1
-0.04,4,0.682783,False,True,1
-0.01,1,0.682985,False,True,1
-0.04,4,0.684795,False,True,1
-0.06,6,0.687024,False,True,1
1.96,4,0.689252,False,True,3
-0.05,5,0.691706,False,True,1
-0.03,3,0.693681,False,True,1
-0.01,1,0.693951,False,True,1
9.93,7,0.696964,True,False,5
-0.02,2,0.698705,False,True,1
-0.02,2,0.699168,False,True,1
-0.04,4,0.701165,False,True,1
-0.01,1,0.701393,False,True,1
1.95,5,0.703451,False,True,3
-0.03,3,0.70557,False,True,1
1.97,3,0.706145,False,True,3
-0.03,3,0.708371,False,True,1
1.96,4,0.710983,False,True,3
1.95,5,0.713542,False,True,3
-0.01,1,0.713778,False,True,1
-0.01,1,0.713994,False,True,1
1.95,5,0.715977,False,True,3
-0.01,1,0.716176,False,True,1
-0.03,3,0.718056,False,True,1
-0.02,2,0.718494,False,True,1
-0.01,1,0.718707,False,True,1
-0.02,2,0.720422,False,True,1
-0.01,1,0.720727,False,True,1
-0.01,1,0.720934,False,True,1
1.89,11,0.725774,False,True,3
-0.01,1,0.727176,False,True,1
9.84,16,0.733876,True,False,5
-0.02,2,0.734282,False,True,1
1.96,4,0.736165,False,True,3
-0.01,1,0.736389,False,True,1
-0.12,12,0.742391,False,True,1
-0.14,14,0.74833,False,True,1
-0.02,2,0.750157,False,True,1
1.97,3,0.750744,False,True,3
-0.02,2,0.752224,False,True,1
-0.01,1,0.752443,False,True,1
-0.05,5,0.75469,False,True,1
-0.09,9,0.758778,False,True,1
-0.09,9,0.762583,False,True,1
-0.02,2,0.762978,False,True,1
9.93,7,0.765271,True,False,5
1.94,6,0.768468,False,True,3
-0.04,4,0.769186,False,True,1
0.93,7,0.772982,False,True,2
-0.06,6,0.775411,False,True,1
-0.04,4,0.777526,False,True,1
9.94,6,0.779958,True,False,5
-0.02,2,0.780357,False,True,1
-0.01,1,0.781912,False,True,1
-0.02,2,0.782337,False,True,1
-0.01,1,0.782545,False,True,1
-0.01,1,0.78275,False,True,1
-0.01,1,0.78407,False,True,1
1.96,4,0.784816,False,True,3
-0.02,2,0.786303,False,True,1
-0.05,5,0.789083,False,True,1
-0.03,3,0.789692,False,True,1
1.97,3,0.791784,False,True,3
9.92,8,0.79634,True,False,5
-0.05,5,0.798721,False,True,1
1.95,5,0.800813,False,True,3
-0.06,6,0.803376,False,True,1
1.92,8,0.806429,False,True,3
-0.06,6,0.809934,False,True,1
-0.03,3,0.810528,False,True,1
-0.01,1,0.810729,False,True,1
-0.01,1,0.812142,False,True,1
-0.05,5,0.814219,False,True,1
-0.03,3,0.81478,False,True,1
-0.07,7,0.818458,False,True,1
-0.02,2,0.818874,False,True,1
-0.02,2,0.819242,False,True,1
-0.02,2,0.820858,False,True,1
1.97,3,0.821404,False,True,3
-0.02,2,0.82308,False,True,1
1.95,5,0.825214,False,True,3
-0.01,1,0.825426,False,True,1
-0.01,1,0.825619,False,True,1
