#{"t_start": 1787193658.852695, "env_id": "None"}
r,l,t,success,collision,max_y
-0.04,4,0.406392,False,True,1
-0.11,11,0.40689,False,True,1
-0.07,7,0.407188,False,True,1
1.82,18,0.407829,False,True,3
-0.07,7,0.411896,False,True,1
-0.01,1,0.412561,False,True,1
-0.11,11,0.413075,False,True,1
-0.03,3,0.413227,False,True,1
-0.02,2,0.413707,False,True,1
-0.06,6,0.413992,False,True,1
-0.03,3,0.414143,False,True,1
-0.04,4,0.414321,False,True,1
-0.03,3,0.414525,False,True,1
-0.03,3,0.414685,False,True,1
-0.04,4,0.414867,False,True,1
-0.06,6,0.415121,False,True,1
-0.02,2,0.415283,False,True,1
-0.05,5,0.415749,False,True,1
-0.03,3,0.415941,False,True,1
-0.02,2,0.416061,False,True,1
-0.03,3,0.416317,False,True,1
-0.04,4,0.416513,False,True,1
-0.03,3,0.416662,False,True,1
-0.01,1,0.416724,False,True,1
-0.11,11,0.417234,False,True,1
-0.05,5,0.417436,False,True,1
-0.16,16,0.418023,False,True,1
-0.05,5,0.418243,False,True,1
-0.02,2,0.418405,False,True,1
-0.03,3,0.418552,False,True,1
-0.06,6,0.41898,False,True,1
-0.1,10,0.419496,False,True,1
-0.07,7,0.420011,False,True,1
-0.03,3,0.420139,False,True,1
-0.24,24,0.421014,False,True,1
-0.06,6,0.421277,False,True,1
-0.04,4,0.421541,False,True,1
1.94,6,0.421788,False,True,3
-0.02,2,0.421904,False,True,1
-0.07,7,0.422186,False,True,1
-0.19,19,0.422943,False,True,1
-0.04,4,0.423118,False,True,1
-0.02,2,0.42323,False,True,1
-0.04,4,0.423402,False,True,1
-0.1,10,0.423858,False,True,1
-0.01,1,0.423998,False,True,1
-0.06,6,0.424243,False,True,1
-0.08,8,0.424556,False,True,1
-0.05,5,0.424836,False,True,1
-0.04,4,0.425015,False,True,1
-0.01,1,0.425093,False,True,1
-0.01,1,0.425151,False,True,1
-0.01,1,0.425272,False,True,1
-0.02,2,0.425393,False,True,1
-0.2,20,0.426117,False,True,1
-0.1,10,0.426479,False,True,1
-0.02,2,0.426652,False,True,1
-0.02,2,0.426746,False,True,1
-0.07,7,0.427028,False,True,1
-0.06,6,0.427258,False,True,1
-0.04,4,0.427501,False,True,1
-0.02,2,0.427614,False,True,1
-0.07,7,0.427884,False,True,1
-0.08,8,0.428191,False,True,1
-0.06,6,0.428486,False,True,1
-0.01,1,0.428548,False,True,1
-0.02,2,0.428659,False,True,1
-0.18,18,0.429286,False,True,1
-0.05,5,0.429607,False,True,1
-0.06,6,0.429844,False,True,1
-0.07,7,0.430124,False,True,1
-0.02,2,0.430216,False,True,1
-0.02,2,0.430399,False,True,1
-0.08,8,0.430735,False,True,1
-0.12,12,0.431189,False,True,1
1.95,5,0.431419,False,True,3
-0.12,12,0.431941,False,True,1
-0.07,7,0.432237,False,True,1
-0.04,4,0.432403,False,True,1
-0.03,3,0.432537,False,True,1
-0.12,12,0.433044,False,True,1
-0.03,3,0.433167,False,True,1
-0.07,7,0.433444,False,True,1
-0.05,5,0.433638,False,True,1
-0.02,2,0.433811,False,True,1
-0.05,5,0.434011,False,True,1
-0.1,10,0.4344,False,True,1
-0.02,2,0.434494,False,True,1
-0.04,4,0.434726,False,True,1
-0.02,2,0.434838,False,True,1
-0.04,4,0.435008,False,True,1
-0.11,11,0.435394,False,True,1
-0.1,10,0.435852,False,True,1
-0.13,13,0.436341,False,True,1
-0.04,4,0.436512,False,True,1
-0.03,3,0.436657,False,True,1
-0.12,12,0.437204,False,True,1
-0.1,10,0.4376,False,True,1
-0.01,1,0.437691,False,True,1
-0.08,8,0.438018,False,True,1
-0.04,4,0.438291,False,True,1
-0.03,3,0.438414,False,True,1
-0.12,12,0.438874,False,True,1
-0.04,4,0.439044,False,True,1
-0.03,3,0.439251,False,True,1
-0.15,15,0.439828,False,True,1
