#{"t_start": 1787191915.582567, "env_id": "None"}
r,l,t,success,collision,max_y
-0.16,16,0.411099,False,True,1
-0.02,2,0.411493,False,True,1
-0.17,17,0.414161,False,True,1
-0.02,2,0.414508,False,True,1
-0.01,1,0.414696,False,True,1
-0.04,4,0.41535,False,True,1
-0.02,2,0.415695,False,True,1
-0.04,4,0.416364,False,True,1
-0.08,8,0.417916,False,True,1
-0.02,2,0.418327,False,True,1
-0.09,9,0.41983,False,True,1
0.95,5,0.420676,False,True,2
-0.04,4,0.421362,False,True,1
-0.05,5,0.422202,False,True,1
-0.01,1,0.4224,False,True,1
-0.03,3,0.42292,False,True,1
-0.09,9,0.424334,False,True,1
1.92,8,0.425565,False,True,3
-0.09,9,0.426943,False,True,1
-0.03,3,0.427426,False,True,1
-0.05,5,0.428204,False,True,1
-0.13,13,0.430183,False,True,1
-0.05,5,0.430961,False,True,1
-0.05,5,0.431745,False,True,1
1.91,9,0.433115,False,True,3
1.81,19,0.436646,False,True,3
-0.03,3,0.437232,False,True,1
-0.01,1,0.437476,False,True,1
0.92,8,0.43887,False,True,2
-0.06,6,0.439932,False,True,1
-0.08,8,0.441476,False,True,1
-0.02,2,0.441867,False,True,1
-0.01,1,0.442458,False,True,1
-0.01,1,0.442742,False,True,1
-0.02,2,0.443156,False,True,1
-0.03,3,0.443698,False,True,1
-0.09,9,0.445437,False,True,1
-0.06,6,0.446465,False,True,1
-0.01,1,0.446665,False,True,1
-0.03,3,0.447183,False,True,1
-0.02,2,0.447538,False,True,1
-0.01,1,0.447727,False,True,1
-0.1,10,0.449333,False,True,1
-0.02,2,0.450232,False,True,1
-0.02,2,0.450621,False,True,1
-0.08,8,0.451945,False,True,1
0.94,6,0.452965,False,True,2
-0.08,8,0.454531,False,True,1
-0.05,5,0.455499,False,True,1
-0.01,1,0.455693,False,True,1
1.89,11,0.457426,False,True,3
-0.01,1,0.457617,False,True,1
-0.09,9,0.459019,False,True,1
-0.07,7,0.460622,False,True,1
-0.13,13,0.462846,False,True,1
-0.04,4,0.463515,False,True,1
-0.03,3,0.464016,False,True,1
0.93,7,0.465145,False,True,2
-0.1,10,0.466727,False,True,1
-0.15,15,0.469094,False,True,1
-0.07,7,0.470556,False,True,1
-0.04,4,0.47128,False,True,1
-0.14,14,0.473535,False,True,1
-0.03,3,0.474044,False,True,1
-0.02,2,0.474388,False,True,1
-0.08,8,0.475653,False,True,1
-0.02,2,0.476005,False,True,1
-0.09,9,0.477435,False,True,1
-0.06,6,0.478393,False,True,1
-0.01,1,0.478581,False,True,1
-0.04,4,0.479225,False,True,1
-0.01,1,0.479412,False,True,1
-0.02,2,0.479754,False,True,1
-0.1,10,0.48142,False,True,1
-0.04,4,0.482071,False,True,1
-0.15,15,0.484392,False,True,1
1.86,14,0.486554,False,True,3
-0.03,3,0.487048,False,True,1
-0.03,3,0.487541,False,True,1
-0.04,4,0.488188,False,True,1
-0.1,10,0.489748,False,True,1
-0.02,2,0.490087,False,True,1
-0.05,5,0.49088,False,True,1
-0.02,2,0.491217,False,True,1
-0.01,1,0.491399,False,True,1
0.95,5,0.492188,False,True,2
-0.03,3,0.492675,False,True,1
-0.07,7,0.493766,False,True,1
0.92,8,0.495033,False,True,2
-0.14,14,0.497183,False,True,1
-0.04,4,0.497818,False,True,1
-0.07,7,0.498914,False,True,1
-0.03,3,0.499406,False,True,1
-0.15,15,0.50171,False,True,1
-0.04,4,0.502351,False,True,1
-0.06,6,0.503283,False,True,1
-0.02,2,0.503619,False,True,1
0.96,4,0.504259,False,True,2
-0.09,9,0.505649,False,True,1
-0.07,7,0.506746,False,True,1
-0.1,10,0.508295,False,True,1
-0.06,6,0.509251,False,True,1
-0.06,6,0.510214,False,True,1
-0.02,2,0.510558,False,True,1
-0.03,3,0.511044,False,True,1
-0.09,9,0.512434,False,True,1
-0.03,3,0.51295,False,True,1
-0.21,21,0.516169,False,True,1
-0.05,5,0.516973,False,True,1
-0.1,10,0.518532,False,True,1
-0.03,3,0.519022,False,True,1
-0.03,3,0.519508,False,True,1
-0.13,13,0.52149,False,True,1
-0.05,5,0.522282,False,True,1
-0.04,4,0.522923,False,True,1
-0.03,3,0.523408,False,True,1
-0.06,6,0.52434,False,True,1
-0.25,25,0.528128,False,True,1
-0.07,7,0.529222,False,True,1
-0.04,4,0.529861,False,True,1
-0.02,2,0.530199,False,True,1
-0.03,3,0.530693,False,True,1
-0.11,11,0.532393,False,True,1
-0.01,1,0.532573,False,True,1
-0.14,14,0.534712,False,True,1
-0.06,6,0.535648,False,True,1
-0.02,2,0.535982,False,True,1
-0.01,1,0.536275,False,True,1
-0.04,4,0.537033,False,True,1
-0.24,24,0.540716,False,True,1
-0.08,8,0.541968,False,True,1
-0.06,6,0.542902,False,True,1
-0.1,10,0.544445,False,True,1
-0.05,5,0.545227,False,True,1
-0.01,1,0.545403,False,True,1
-0.03,3,0.545889,False,True,1
-0.32,32,0.550644,False,True,1
-0.06,6,0.551568,False,True,1
-0.28,28,0.555743,False,True,1
-0.1,10,0.557268,False,True,1
1.91,9,0.558639,False,True,3
-0.04,4,0.559264,False,True,1
0.81,19,0.562129,False,True,2
-0.02,2,0.562465,False,True,1
-0.02,2,0.562797,False,True,1
-0.05,5,0.563567,False,True,1
-0.04,4,0.564193,False,True,1
-0.02,2,0.56452,False,True,1
-0.04,4,0.565144,False,True,1
-0.05,5,0.565923,False,True,1
-0.06,6,0.56685,False,True,1
-0.08,8,0.568064,False,True,1
-0.15,15,0.570301,False,True,1
-0.02,2,0.570633,False,True,1
-0.06,6,0.571544,False,True,1
-0.01,1,0.571723,False,True,1
-0.17,17,0.574265,False,True,1
-0.02,2,0.574598,False,True,1
-0.06,6,0.575515,False,True,1
-0.02,2,0.57584,False,True,1
-0.08,8,0.577063,False,True,1
0.86,14,0.579156,False,True,2
-0.06,6,0.580068,False,True,1
-0.03,3,0.580546,False,True,1
-0.01,1,0.580719,False,True,1
-0.06,6,0.58164,False,True,1
-0.03,3,0.582114,False,True,1
-0.08,8,0.58335,False,True,1
-0.04,4,0.583975,False,True,1
-0.01,1,0.584149,False,True,1
-0.05,5,0.584915,False,True,1
-0.11,11,0.586567,False,True,1
2.79,21,0.589696,False,True,4
-0.04,4,0.590322,False,True,1
-0.04,4,0.590947,False,True,1
-0.02,2,0.591268,False,True,1
-0.04,4,0.591889,False,True,1
-0.01,1,0.592063,False,True,1
-0.03,3,0.592538,False,True,1
-0.12,12,0.594327,False,True,1
-0.06,6,0.595241,False,True,1
-0.24,24,0.598778,False,True,1
-0.03,3,0.599257,False,True,1
-0.04,4,0.599875,False,True,1
-0.01,1,0.600052,False,True,1
-0.01,1,0.600228,False,True,1
-0.02,2,0.600552,False,True,1
-0.03,3,0.601024,False,True,1
-0.05,5,0.601792,False,True,1
-0.03,3,0.602265,False,True,1
-0.02,2,0.602587,False,True,1
-0.09,9,0.603939,False,True,1
9.78,22,0.607203,True,False,5
-0.02,2,0.60753,False,True,1
-0.01,1,0.607706,False,True,1
-0.16,16,0.610081,False,True,1
-0.01,1,0.610259,False,True,1
-0.11,11,0.611904,False,True,1
-0.07,7,0.612963,False,True,1
-0.06,6,0.613878,False,True,1
-0.15,15,0.616105,False,True,1
-0.11,11,0.617752,False,True,1
-0.01,1,0.61793,False,True,1
-0.02,2,0.618254,False,True,1
-0.08,8,0.619457,False,True,1
-0.08,8,0.620669,False,True,1
-0.02,2,0.620995,False,True,1
-0.05,5,0.621767,False,True,1
-0.09,9,0.623124,False,True,1
-0.07,7,0.624183,False,True,1
-0.02,2,0.624508,False,True,1
1.85,15,0.626756,False,True,3
-0.04,4,0.627381,False,True,1
-0.15,15,0.629608,False,True,1
-0.02,2,0.629934,False,True,1
-0.02,2,0.630255,False,True,1
-0.01,1,0.630427,False,True,1
-0.06,6,0.631348,False,True,1
-0.2,20,0.634294,False,True,1
-0.04,4,0.634911,False,True,1
-0.03,3,0.635386,False,True,1
-0.03,3,0.635853,False,True,1
-0.06,6,0.636769,False,True,1
-0.01,1,0.636941,False,True,1
-0.1,10,0.638439,False,True,1
-0.06,6,0.639348,False,True,1
-0.07,7,0.640416,False,True,1
-0.02,2,0.640741,False,True,1
-0.09,9,0.64209,False,True,1
-0.06,6,0.643005,False,True,1
-0.06,6,0.643922,False,True,1
-0.06,6,0.644847,False,True,1
-0.03,3,0.645319,False,True,1
-0.06,6,0.646242,False,True,1
-0.01,1,0.646421,False,True,1
-0.05,5,0.647193,False,True,1
1.92,8,0.648403,False,True,3
-0.02,2,0.648731,False,True,1
1.91,9,0.650096,False,True,3
1.96,4,0.650725,False,True,3
1.92,8,0.651933,False,True,3
