#{"t_start": 1787204968.155966, "env_id": "None"}
r,l,t,success,collision,max_y
-0.02,2,0.44213,False,True,1
-0.02,2,0.442306,False,True,1
-0.08,8,0.44268,False,True,1
-0.06,6,0.442943,False,True,1
-0.01,1,0.446743,False,True,1
-0.04,4,0.44836,False,True,1
-0.08,8,0.448792,False,True,1
-0.06,6,0.449056,False,True,1
-0.01,1,0.449471,False,True,1
0.95,5,0.449689,False,True,2
-0.07,7,0.449968,False,True,1
-0.12,12,0.45041,False,True,1
-0.17,17,0.451079,False,True,1
-0.17,17,0.451678,False,True,1
-0.01,1,0.451756,False,True,1
0.88,12,0.452202,False,True,2
-0.01,1,0.452317,False,True,1
-0.09,9,0.45267,False,True,1
-0.15,15,0.453215,False,True,1
-0.01,1,0.453274,False,True,1
-0.21,21,0.454105,False,True,1
-0.11,11,0.454509,False,True,1
-0.16,16,0.455069,False,True,1
9.91,9,0.455405,True,False,5
-0.08,8,0.455773,False,True,1
-0.04,4,0.455939,False,True,1
-0.01,1,0.456018,False,True,1
-0.04,4,0.456184,False,True,1
-0.04,4,0.456411,False,True,1
-0.03,3,0.456529,False,True,1
1.72,28,0.457672,False,True,3
-0.04,4,0.457934,False,True,1
-0.15,15,0.458712,False,True,1
-0.06,6,0.458996,False,True,1
-0.11,11,0.459512,False,True,1
-0.1,10,0.4599,False,True,1
-0.03,3,0.460134,False,True,1
-0.11,11,0.460526,False,True,1
-0.04,4,0.460696,False,True,1
-0.01,1,0.460775,False,True,1
-0.1,10,0.461206,False,True,1
-0.02,2,0.46132,False,True,1
-0.03,3,0.461438,False,True,1
-0.04,4,0.461605,False,True,1
-0.09,9,0.462035,False,True,1
-0.03,3,0.462283,False,True,1
-0.01,1,0.462368,False,True,1
-0.01,1,0.462437,False,True,1
-0.07,7,0.462868,False,True,1
-0.12,12,0.463337,False,True,1
-0.07,7,0.463596,False,True,1
1.81,19,0.464267,False,True,3
-0.01,1,0.46441,False,True,1
-0.1,10,0.46479,False,True,1
-0.06,6,0.465009,False,True,1
-0.04,4,0.465174,False,True,1
1.84,16,0.465799,False,True,3
-0.06,6,0.466043,False,True,1
-0.05,5,0.466237,False,True,1
-0.04,4,0.466403,False,True,1
0.85,15,0.467047,False,True,2
-0.04,4,0.467227,False,True,1
-0.05,5,0.467459,False,True,1
-0.01,1,0.467635,False,True,1
1.74,26,0.468875,False,True,3
-0.01,1,0.46895,False,True,1
-0.07,7,0.469248,False,True,1
-0.06,6,0.469633,False,True,1
-0.03,3,0.469971,False,True,1
-0.03,3,0.470141,False,True,1
0.92,8,0.470487,False,True,2
-0.02,2,0.470582,False,True,1
-0.01,1,0.47073,False,True,1
0.94,6,0.470993,False,True,2
1.91,9,0.471353,False,True,3
-0.04,4,0.471529,False,True,1
