#{"t_start": 1787203025.236577, "env_id": "None"}
r,l,t,success,collision,max_y
-0.02,2,0.464533,False,True,1
-0.02,2,0.464712,False,True,1
-0.08,8,0.465097,False,True,1
-0.06,6,0.465478,False,True,1
-0.01,1,0.469658,False,True,1
-0.04,4,0.470946,False,True,1
-0.08,8,0.471306,False,True,1
-0.06,6,0.471573,False,True,1
-0.01,1,0.472274,False,True,1
0.95,5,0.472512,False,True,2
-0.07,7,0.472801,False,True,1
-0.12,12,0.473263,False,True,1
-0.17,17,0.473976,False,True,1
-0.17,17,0.474623,False,True,1
-0.01,1,0.474707,False,True,1
0.88,12,0.475176,False,True,2
-0.01,1,0.475314,False,True,1
-0.09,9,0.475665,False,True,1
-0.15,15,0.476246,False,True,1
-0.01,1,0.476311,False,True,1
-0.21,21,0.477577,False,True,1
-0.11,11,0.478389,False,True,1
-0.16,16,0.479217,False,True,1
9.91,9,0.479633,True,False,5
-0.08,8,0.480115,False,True,1
-0.04,4,0.480297,False,True,1
-0.01,1,0.48038,False,True,1
-0.04,4,0.480564,False,True,1
-0.04,4,0.480822,False,True,1
-0.03,3,0.480948,False,True,1
1.72,28,0.481939,False,True,3
-0.04,4,0.482114,False,True,1
-0.15,15,0.482871,False,True,1
-0.06,6,0.48315,False,True,1
-0.11,11,0.483572,False,True,1
-0.1,10,0.483966,False,True,1
-0.03,3,0.484215,False,True,1
-0.11,11,0.484613,False,True,1
-0.04,4,0.484785,False,True,1
-0.01,1,0.484867,False,True,1
-0.1,10,0.485407,False,True,1
-0.02,2,0.485533,False,True,1
-0.03,3,0.485657,False,True,1
-0.04,4,0.485945,False,True,1
-0.09,9,0.4865,False,True,1
-0.03,3,0.486659,False,True,1
-0.01,1,0.486756,False,True,1
-0.01,1,0.486824,False,True,1
-0.07,7,0.487256,False,True,1
-0.12,12,0.487825,False,True,1
-0.07,7,0.488125,False,True,1
1.81,19,0.488841,False,True,3
-0.01,1,0.489032,False,True,1
