#{"t_start": 1787209058.903244, "env_id": "None"}
r,l,t,success,collision,max_y
-0.08,8,0.657168,False,True,1
-0.04,4,0.657971,False,True,1
-0.19,19,0.661113,False,True,1
-0.11,11,0.662927,False,True,1
-0.05,5,0.663771,False,True,1
-0.04,4,0.664442,False,True,1
-0.01,1,0.664632,False,True,1
-0.05,5,0.665468,False,True,1
-0.03,3,0.665991,False,True,1
0.8,20,0.669198,False,True,2
-0.02,2,0.669561,False,True,1
0.96,4,0.670234,False,True,2
-0.03,3,0.67074,False,True,1
-0.04,4,0.671394,False,True,1
-0.04,4,0.672057,False,True,1
-0.12,12,0.673969,False,True,1
-0.17,17,0.676684,False,True,1
-0.01,1,0.676877,False,True,1
-0.02,2,0.677225,False,True,1
-0.03,3,0.677729,False,True,1
-0.1,10,0.679355,False,True,1
-0.01,1,0.679543,False,True,1
-0.08,8,0.680828,False,True,1
0.91,9,0.682274,False,True,2
-0.02,2,0.68262,False,True,1
-0.06,6,0.683597,False,True,1
-0.01,1,0.683784,False,True,1
-0.03,3,0.684288,False,True,1
-0.03,3,0.684784,False,True,1
1.9,10,0.686457,False,True,3
-0.05,5,0.687756,False,True,1
-0.06,6,0.688938,False,True,1
-0.03,3,0.689479,False,True,1
-0.11,11,0.691554,False,True,1
-0.03,3,0.692098,False,True,1
-0.12,12,0.694043,False,True,1
-0.15,15,0.696428,False,True,1
-0.13,13,0.698516,False,True,1
-0.09,9,0.700283,False,True,1
-0.11,11,0.702414,False,True,1
0.96,4,0.703189,False,True,2
-0.1,10,0.704873,False,True,1
0.89,11,0.706668,False,True,2
-0.05,5,0.707503,False,True,1
-0.05,5,0.708681,False,True,1
-0.02,2,0.709183,False,True,1
-0.08,8,0.710551,False,True,1
1.97,3,0.711081,False,True,3
-0.03,3,0.711599,False,True,1
-0.01,1,0.711794,False,True,1
-0.11,11,0.7136,False,True,1
-0.02,2,0.713957,False,True,1
-0.02,2,0.714311,False,True,1
-0.05,5,0.71513,False,True,1
-0.08,8,0.716427,False,True,1
-0.03,3,0.716936,False,True,1
-0.11,11,0.718708,False,True,1
-0.12,12,0.720623,False,True,1
-0.2,20,0.723813,False,True,1
-0.08,8,0.725104,False,True,1
-0.04,4,0.725772,False,True,1
-0.01,1,0.72596,False,True,1
-0.01,1,0.726144,False,True,1
0.95,5,0.726974,False,True,2
-0.1,10,0.728583,False,True,1
-0.05,5,0.729442,False,True,1
-0.08,8,0.730788,False,True,1
-0.05,5,0.731638,False,True,1
-0.04,4,0.732318,False,True,1
-0.46,46,0.739897,False,True,1
-0.01,1,0.740106,False,True,1
-0.03,3,0.740624,False,True,1
-0.03,3,0.741163,False,True,1
-0.03,3,0.741687,False,True,1
-0.06,6,0.742667,False,True,1
-0.02,2,0.743015,False,True,1
1.93,7,0.744146,False,True,3
-0.02,2,0.744498,False,True,1
-0.03,3,0.744993,False,True,1
-0.08,8,0.746279,False,True,1
-0.21,21,0.749564,False,True,1
-0.08,8,0.750849,False,True,1
-0.06,6,0.75183,False,True,1
-0.02,2,0.752181,False,True,1
-0.13,13,0.754245,False,True,1
-0.05,5,0.755082,False,True,1
-0.07,7,0.756207,False,True,1
-0.01,1,0.756398,False,True,1
-0.02,2,0.756743,False,True,1
1.89,11,0.758491,False,True,3
0.95,5,0.759316,False,True,2
-0.03,3,0.759817,False,True,1
1.97,3,0.760326,False,True,3
-0.01,1,0.760515,False,True,1
-0.13,13,0.762591,False,True,1
0.92,8,0.763885,False,True,2
-0.07,7,0.76503,False,True,1
1.89,11,0.766781,False,True,3
1.82,18,0.769603,False,True,3
-0.03,3,0.770186,False,True,1
-0.04,4,0.770878,False,True,1
-0.08,8,0.772198,False,True,1
-0.04,4,0.772874,False,True,1
-0.01,1,0.773059,False,True,1
-0.04,4,0.773722,False,True,1
-0.01,1,0.773913,False,True,1
-0.01,1,0.774099,False,True,1
-0.04,4,0.774924,False,True,1
-0.02,2,0.775456,False,True,1
9.91,9,0.776996,True,False,5
-0.07,7,0.778184,False,True,1
-0.08,8,0.779482,False,True,1
-0.05,5,0.780453,False,True,1
-0.01,1,0.78068,False,True,1
-0.07,7,0.782009,False,True,1
-0.05,5,0.782901,False,True,1
-0.06,6,0.783973,False,True,1
-0.03,3,0.784501,False,True,1
