#{"t_start": 1787268220.468319, "env_id": "None"}
r,l,t,success,collision,max_y
1.95,5,0.429374,False,True,3
-0.15,15,0.438097,False,True,1
-0.02,2,0.439847,False,True,1
-0.14,14,0.446497,False,True,1
-0.09,9,0.449771,False,True,1
-0.04,4,0.451858,False,True,1
1.91,9,0.456082,False,True,3
1.95,5,0.458732,False,True,3
-0.07,7,0.461458,False,True,1
-0.06,6,0.465214,False,True,1
0.83,17,0.471916,False,True,2
0.95,5,0.474049,False,True,2
-0.08,8,0.477842,False,True,1
-0.01,1,0.478085,False,True,1
0.93,7,0.480617,False,True,2
0.71,29,0.494277,False,True,2
-0.03,3,0.496271,False,True,1
-0.11,11,0.500872,False,True,1
-0.08,8,0.503508,False,True,1
-0.14,14,0.509716,False,True,1
-0.04,4,0.511706,False,True,1
1.85,15,0.518202,False,True,3
-0.02,2,0.51862,False,True,1
-0.06,6,0.522086,False,True,1
-0.02,2,0.52249,False,True,1
-0.05,5,0.524565,False,True,1
3.82,18,0.532451,False,True,5
-0.06,6,0.534935,False,True,1
1.96,4,0.536961,False,True,3
-0.11,11,0.541369,False,True,1
-0.02,2,0.541783,False,True,1
0.74,26,0.552557,False,True,2
-0.01,1,0.554148,False,True,1
-0.01,1,0.554401,False,True,1
-0.06,6,0.55684,False,True,1
-0.04,4,0.558765,False,True,1
-0.01,1,0.558997,False,True,1
-0.02,2,0.559394,False,True,1
-0.04,4,0.561464,False,True,1
-0.02,2,0.563221,False,True,1
-0.01,1,0.563475,False,True,1
-0.01,1,0.563704,False,True,1
-0.04,4,0.565679,False,True,1
1.9,10,0.569866,False,True,3
-0.04,4,0.571744,False,True,1
-0.01,1,0.571983,False,True,1
1.85,15,0.579098,False,True,3
-0.12,12,0.583432,False,True,1
-0.02,2,0.584958,False,True,1
-0.01,1,0.585211,False,True,1
-0.01,1,0.585448,False,True,1
-0.07,7,0.587846,False,True,1
-0.02,2,0.589334,False,True,1
-0.01,1,0.589565,False,True,1
-0.01,1,0.589783,False,True,1
-0.07,7,0.593705,False,True,1
1.93,7,0.596127,False,True,3
-0.02,2,0.59652,False,True,1
-0.02,2,0.598004,False,True,1
-0.04,4,0.599902,False,True,1
-0.02,2,0.600313,False,True,1
1.89,11,0.604984,False,True,3
-0.01,1,0.605289,False,True,1
-0.05,5,0.607793,False,True,1
-0.12,12,0.614,False,True,1
0.94,6,0.616771,False,True,2
-0.04,4,0.618904,False,True,1
-0.02,2,0.619306,False,True,1
-0.11,11,0.623614,False,True,1
-0.02,2,0.625342,False,True,1
-0.04,4,0.627274,False,True,1
-0.04,4,0.628038,False,True,1
1.96,4,0.629984,False,True,3
1.95,5,0.631994,False,True,3
-0.05,5,0.634038,False,True,1
-0.02,2,0.63563,False,True,1
1.95,5,0.637882,False,True,3
-0.04,4,0.638624,False,True,1
0.91,9,0.64265,False,True,2
1.92,8,0.646683,False,True,3
1.92,8,0.649764,False,True,3
1.95,5,0.662,False,True,3
5.84,16,0.672709,False,True,7
-0.04,4,0.673768,False,True,1
-0.02,2,0.675671,False,True,1
0.88,12,0.680561,False,True,2
-0.01,1,0.680822,False,True,1
-0.02,2,0.682666,False,True,1
0.94,6,0.68506,False,True,2
-0.01,1,0.6853,False,True,1
-0.03,3,0.687395,False,True,1
1.97,3,0.688018,False,True,3
3.94,6,0.6922,False,True,5
2.89,11,0.69688,False,True,4
-0.01,1,0.697122,False,True,1
3.9,10,0.701609,False,True,5
-0.01,1,0.701841,False,True,1
1.95,5,0.70414,False,True,3
1.96,4,0.706254,False,True,3
1.97,3,0.708075,False,True,3
3.94,6,0.71035,False,True,5
1.94,6,0.712625,False,True,3
-0.03,3,0.714478,False,True,1
-0.01,1,0.714773,False,True,1
2.94,6,0.717263,False,True,4
1.97,3,0.719202,False,True,3
-0.01,1,0.719495,False,True,1
2.92,8,0.722289,False,True,4
1.97,3,0.724113,False,True,3
1.95,5,0.726507,False,True,3
5.89,11,0.731165,False,True,7
3.92,8,0.735018,False,True,5
4.88,12,0.739668,False,True,6
-0.01,1,0.739905,False,True,1
-0.01,1,0.741323,False,True,1
1.97,3,0.741913,False,True,3
5.89,11,0.746466,False,True,7
1.96,4,0.748489,False,True,3
-0.03,3,0.750228,False,True,1
3.9,10,0.754176,False,True,5
-0.02,2,0.75457,False,True,1
1.97,3,0.756543,False,True,3
-0.01,1,0.756779,False,True,1
1.96,4,0.758953,False,True,3
-0.03,3,0.759568,False,True,1
-0.01,1,0.761133,False,True,1
-0.01,1,0.761382,False,True,1
5.89,11,0.766016,False,True,7
-0.01,1,0.76626,False,True,1
1.95,5,0.768387,False,True,3
1.95,5,0.770752,False,True,3
3.93,7,0.774656,False,True,5
-0.01,1,0.774909,False,True,1
-0.02,2,0.775296,False,True,1
1.97,3,0.777056,False,True,3
-0.01,1,0.777276,False,True,1
-0.02,2,0.777658,False,True,1
5.93,7,0.781367,False,True,7
-0.01,1,0.781598,False,True,1
1.95,5,0.783737,False,True,3
3.93,7,0.78622,False,True,5
1.96,4,0.788125,False,True,3
3.91,9,0.792162,False,True,5
1.97,3,0.793853,False,True,3
-0.01,1,0.794083,False,True,1
1.96,4,0.795904,False,True,3
-0.01,1,0.796153,False,True,1
1.97,3,0.796724,False,True,3
-0.01,1,0.798065,False,True,1
1.97,3,0.79866,False,True,3
1.93,7,0.802412,False,True,3
1.95,5,0.804684,False,True,3
3.95,5,0.807057,False,True,5
1.97,3,0.807685,False,True,3
1.96,4,0.809666,False,True,3
2.92,8,0.813398,False,True,4
1.97,3,0.813983,False,True,3
-0.01,1,0.814193,False,True,1
13.86,14,0.820567,True,False,9
-0.03,3,0.822408,False,True,1
-0.01,1,0.822652,False,True,1
-0.01,1,0.822864,False,True,1
3.95,5,0.825189,False,True,5
3.95,5,0.827363,False,True,5
1.97,3,0.829115,False,True,3
1.97,3,0.829667,False,True,3
-0.01,1,0.831026,False,True,1
3.94,6,0.83332,False,True,5
0.97,3,0.833884,False,True,2
-0.01,1,0.835376,False,True,1
3.9,10,0.839737,False,True,5
3.95,5,0.842002,False,True,5
1.97,3,0.842632,False,True,3
3.95,5,0.844804,False,True,5
5.92,8,0.848867,False,True,7
3.95,5,0.851223,False,True,5
-0.02,2,0.851646,False,True,1
-0.01,1,0.851858,False,True,1
-0.01,1,0.853377,False,True,1
1.97,3,0.853968,False,True,3
3.95,5,0.856202,False,True,5
1.97,3,0.858208,False,True,3
3.94,6,0.8608,False,True,5
3.94,6,0.863003,False,True,5
-0.01,1,0.863225,False,True,1
1.96,4,0.865434,False,True,3
1.97,3,0.867292,False,True,3
-0.01,1,0.867519,False,True,1
1.97,3,0.869415,False,True,3
-0.01,1,0.869674,False,True,1
1.97,3,0.870242,False,True,3
5.91,9,0.874588,False,True,7
-0.01,1,0.874821,False,True,1
1.97,3,0.876569,False,True,3
1.95,5,0.878767,False,True,3
-0.01,1,0.879002,False,True,1
1.97,3,0.880929,False,True,3
1.97,3,0.88153,False,True,3
-0.01,1,0.882992,False,True,1
-0.01,1,0.883256,False,True,1
13.88,12,0.888177,True,False,9
1.96,4,0.890224,False,True,3
-0.01,1,0.890445,False,True,1
-0.01,1,0.890658,False,True,1
-0.01,1,0.892221,False,True,1
-0.01,1,0.892479,False,True,1
1.96,4,0.894541,False,True,3
1.95,5,0.89713,False,True,3
-0.01,1,0.897434,False,True,1
1.97,3,0.898069,False,True,3
3.94,6,0.902009,False,True,5
3.93,7,0.904797,False,True,5
1.97,3,0.906779,False,True,3
-0.01,1,0.907058,False,True,1
-0.03,3,0.907624,False,True,1
-0.01,1,0.909156,False,True,1
1.96,4,0.909909,False,True,3
3.93,7,0.91412,False,True,5
-0.02,2,0.914528,False,True,1
3.95,5,0.917173,False,True,5
-0.02,2,0.918993,False,True,1
3.95,5,0.921272,False,True,5
-0.01,1,0.921528,False,True,1
3.95,5,0.92375,False,True,5
1.96,4,0.925792,False,True,3
1.96,4,0.926552,False,True,3
3.95,5,0.92891,False,True,5
-0.01,1,0.930376,False,True,1
1.97,3,0.930983,False,True,3
-0.01,1,0.931214,False,True,1
1.97,3,0.932991,False,True,3
-0.01,1,0.933206,False,True,1
2.95,5,0.935293,False,True,4
1.96,4,0.937315,False,True,3
-0.01,1,0.93754,False,True,1
1.97,3,0.939429,False,True,3
5.9,10,0.943797,False,True,7
-0.01,1,0.944025,False,True,1
1.96,4,0.946188,False,True,3
1.96,4,0.948298,False,True,3
5.91,9,0.951259,False,True,7
5.92,8,0.95531,False,True,7
13.9,10,0.959761,True,False,9
5.86,14,0.966296,False,True,7
3.95,5,0.968619,False,True,5
13.9,10,0.973502,True,False,9
1.97,3,0.974197,False,True,3
1.97,3,0.976337,False,True,3
-0.02,2,0.976805,False,True,1
3.95,5,0.979072,False,True,5
1.97,3,0.981392,False,True,3
5.92,8,0.985708,False,True,7
-0.01,1,0.985986,False,True,1
3.95,5,0.988387,False,True,5
-0.01,1,0.988656,False,True,1
-0.03,3,0.990662,False,True,1
3.94,6,0.993152,False,True,5
-0.01,1,0.993407,False,True,1
1.97,3,0.995361,False,True,3
3.95,5,0.997741,False,True,5
-0.01,1,0.998017,False,True,1
3.95,5,1.000218,False,True,5
3.95,5,1.002406,False,True,5
1.96,4,1.004486,False,True,3
1.96,4,1.005302,False,True,3
1.96,4,1.007293,False,True,3
3.95,5,1.009484,False,True,5
3.94,6,1.011946,False,True,5
1.97,3,1.013839,False,True,3
5.92,8,1.018015,False,True,7
3.94,6,1.020494,False,True,5
3.95,5,1.022782,False,True,5
3.95,5,1.024955,False,True,5
1.96,4,1.026862,False,True,3
1.97,3,1.027426,False,True,3
3.94,6,1.029862,False,True,5
-0.02,2,1.031451,False,True,1
-0.01,1,1.031677,False,True,1
1.97,3,1.03341,False,True,3
3.94,6,1.035729,False,True,5
-0.01,1,1.03597,False,True,1
1.97,3,1.037914,False,True,3
1.96,4,1.038697,False,True,3
-0.01,1,1.040192,False,True,1
-0.01,1,1.040433,False,True,1
1.96,4,1.04253,False,True,3
-0.01,1,1.042792,False,True,1
2.95,5,1.045012,False,True,4
-0.01,1,1.045233,False,True,1
-0.01,1,1.045456,False,True,1
-0.01,1,1.045664,False,True,1
5.93,7,1.049291,False,True,7
3.94,6,1.051519,False,True,5
5.9,10,1.055575,False,True,7
