#{"t_start": 1787280635.555866, "env_id": "None"}
r,l,t,success,collision,max_y
-0.17,17,0.410676,False,True,1
-0.06,6,0.410981,False,True,1
-0.11,11,0.411461,False,True,1
-0.01,1,0.411539,False,True,1
1.86,14,0.415748,False,True,3
-0.04,4,0.416514,False,True,1
-0.07,7,0.416816,False,True,1
-0.02,2,0.416948,False,True,1
-0.02,2,0.417443,False,True,1
-0.06,6,0.417732,False,True,1
-0.03,3,0.417887,False,True,1
-0.06,6,0.41815,False,True,1
1.92,8,0.41856,False,True,3
0.9,10,0.418986,False,True,2
1.89,11,0.419427,False,True,3
-0.04,4,0.419616,False,True,1
1.81,19,0.420463,False,True,3
0.83,17,0.421169,False,True,2
-0.04,4,0.421373,False,True,1
0.91,9,0.421774,False,True,2
-0.03,3,0.421977,False,True,1
-0.03,3,0.422141,False,True,1
-0.14,14,0.422959,False,True,1
-0.27,27,0.42404,False,True,1
-0.06,6,0.424472,False,True,1
1.92,8,0.424827,False,True,3
-0.03,3,0.425001,False,True,1
-0.01,1,0.425075,False,True,1
-0.02,2,0.425253,False,True,1
-0.05,5,0.425514,False,True,1
-0.25,25,0.426471,False,True,1
-0.04,4,0.426667,False,True,1
1.83,17,0.427413,False,True,3
-0.16,16,0.428059,False,True,1
-0.01,1,0.428139,False,True,1
-0.01,1,0.428234,False,True,1
1.89,11,0.428759,False,True,3
-0.25,25,0.429725,False,True,1
-0.02,2,0.429832,False,True,1
-0.1,10,0.43026,False,True,1
-0.04,4,0.430609,False,True,1
0.93,7,0.430998,False,True,2
1.77,23,0.431961,False,True,3
-0.23,23,0.433066,False,True,1
-0.11,11,0.433743,False,True,1
-0.03,3,0.433899,False,True,1
-0.02,2,0.43405,False,True,1
-0.08,8,0.434411,False,True,1
1.86,14,0.435075,False,True,3
-0.3,30,0.436289,False,True,1
-0.11,11,0.436757,False,True,1
-0.1,10,0.437159,False,True,1
0.89,11,0.437712,False,True,2
-0.01,1,0.437797,False,True,1
-0.05,5,0.438033,False,True,1
-0.03,3,0.438199,False,True,1
-0.04,4,0.438474,False,True,1
2.88,12,0.439005,False,True,4
-0.1,10,0.439446,False,True,1
-0.09,9,0.439837,False,True,1
-0.11,11,0.440389,False,True,1
-0.06,6,0.440653,False,True,1
-0.05,5,0.440882,False,True,1
-0.1,10,0.441299,False,True,1
0.86,14,0.441905,False,True,2
-0.05,5,0.442164,False,True,1
-0.08,8,0.442504,False,True,1
-0.12,12,0.443,False,True,1
0.92,8,0.443518,False,True,2
-0.14,14,0.444098,False,True,1
-0.07,7,0.444412,False,True,1
0.93,7,0.444738,False,True,2
1.87,13,0.445397,False,True,3
-0.03,3,0.445559,False,True,1
3.93,7,0.445862,False,True,5
-0.01,1,0.445959,False,True,1
-0.09,9,0.44642,False,True,1
0.9,10,0.446856,False,True,2
1.94,6,0.447154,False,True,3
0.59,41,0.448755,False,True,2
-0.09,9,0.449258,False,True,1
1.89,11,0.449714,False,True,3
-0.07,7,0.450016,False,True,1
-0.27,27,0.451041,False,True,1
-0.02,2,0.451217,False,True,1
-0.03,3,0.451386,False,True,1
1.91,9,0.451764,False,True,3
1.94,6,0.45204,False,True,3
1.97,3,0.452284,False,True,3
1.91,9,0.452674,False,True,3
0.8,20,0.453448,False,True,2
-0.07,7,0.453735,False,True,1
-0.06,6,0.454135,False,True,1
-0.16,16,0.454816,False,True,1
-0.07,7,0.455141,False,True,1
1.83,17,0.455854,False,True,3
-0.4,40,0.457439,False,True,1
1.91,9,0.457818,False,True,3
-0.09,9,0.458187,False,True,1
-0.08,8,0.458522,False,True,1
-0.05,5,0.458923,False,True,1
-0.03,3,0.459092,False,True,1
1.94,6,0.459386,False,True,3
-0.17,17,0.460062,False,True,1
-0.05,5,0.461158,False,True,1
1.96,4,0.461358,False,True,3
0.89,11,0.461824,False,True,2
-0.01,1,0.461898,False,True,1
-0.02,2,0.462106,False,True,1
-0.14,14,0.462674,False,True,1
-0.11,11,0.463126,False,True,1
0.84,16,0.463779,False,True,2
-0.08,8,0.464202,False,True,1
-0.05,5,0.464485,False,True,1
-0.26,26,0.465574,False,True,1
-0.17,17,0.466261,False,True,1
-0.12,12,0.46687,False,True,1
-0.05,5,0.467101,False,True,1
-0.25,25,0.468058,False,True,1
0.78,22,0.468898,False,True,2
-0.12,12,0.469482,False,True,1
-0.21,21,0.470289,False,True,1
-0.35,35,0.471607,False,True,1
-0.07,7,0.472068,False,True,1
-0.09,9,0.472621,False,True,1
-0.05,5,0.472863,False,True,1
-0.03,3,0.473024,False,True,1
3.9,10,0.473455,False,True,5
-0.05,5,0.47375,False,True,1
-0.15,15,0.47446,False,True,1
2.47,53,0.476555,False,True,4
-0.02,2,0.476664,False,True,1
-0.09,9,0.477178,False,True,1
-0.07,7,0.477469,False,True,1
-0.01,1,0.477564,False,True,1
-0.14,14,0.478111,False,True,1
0.89,11,0.478675,False,True,2
-0.18,18,0.479368,False,True,1
0.93,7,0.479678,False,True,2
0.87,13,0.48019,False,True,2
-0.09,9,0.48066,False,True,1
-0.03,3,0.480801,False,True,1
1.91,9,0.481193,False,True,3
-0.13,13,0.481753,False,True,1
-0.1,10,0.482258,False,True,1
-0.05,5,0.482512,False,True,1
-0.03,3,0.482661,False,True,1
-0.02,2,0.482786,False,True,1
-0.03,3,0.483016,False,True,1
-0.11,11,0.483471,False,True,1
-0.1,10,0.483896,False,True,1
1.88,12,0.484387,False,True,3
0.91,9,0.484883,False,True,2
-0.1,10,0.485333,False,True,1
-0.04,4,0.485529,False,True,1
1.86,14,0.486107,False,True,3
-0.04,4,0.486399,False,True,1
-0.01,1,0.486472,False,True,1
-0.02,2,0.486602,False,True,1
-0.07,7,0.486914,False,True,1
0.91,9,0.48739,False,True,2
-0.06,6,0.487667,False,True,1
-0.03,3,0.487842,False,True,1
-0.01,1,0.487916,False,True,1
