#{"t_start": 1787291467.0056581, "env_id": "None"}
r,l,t,success,collision,max_y
-0.13,13,0.554328,False,True,1
0.86,14,0.556735,False,True,2
-0.15,15,0.559192,False,True,1
-0.06,6,0.560216,False,True,1
-0.05,5,0.56107,False,True,1
-0.02,2,0.561448,False,True,1
-0.09,9,0.56294,False,True,1
-0.08,8,0.564266,False,True,1
0.94,6,0.565269,False,True,2
-0.11,11,0.567439,False,True,1
-0.21,21,0.570984,False,True,1
-0.15,15,0.573485,False,True,1
0.93,7,0.574674,False,True,2
1.53,47,0.582744,False,True,3
1.81,19,0.58596,False,True,3
1.88,12,0.58798,False,True,3
-0.2,20,0.591651,False,True,1
1.91,9,0.593336,False,True,3
1.87,13,0.595626,False,True,3
-0.07,7,0.596917,False,True,1
-0.07,7,0.598121,False,True,1
-0.08,8,0.599483,False,True,1
-0.07,7,0.600703,False,True,1
-0.03,3,0.60125,False,True,1
-0.04,4,0.601937,False,True,1
0.67,33,0.607164,False,True,2
-0.02,2,0.607535,False,True,1
-0.03,3,0.608077,False,True,1
-0.1,10,0.609731,False,True,1
-0.05,5,0.610579,False,True,1
1.91,9,0.612063,False,True,3
-0.07,7,0.613213,False,True,1
-0.01,1,0.61342,False,True,1
-0.04,4,0.614093,False,True,1
-0.03,3,0.614608,False,True,1
-0.06,6,0.615588,False,True,1
-0.01,1,0.61579,False,True,1
1.77,23,0.619415,False,True,3
-0.03,3,0.619933,False,True,1
3.9,10,0.621546,False,True,5
-0.02,2,0.621907,False,True,1
-0.07,7,0.62305,False,True,1
-0.08,8,0.624344,False,True,1
0.95,5,0.625168,False,True,2
-0.01,1,0.625372,False,True,1
-0.01,1,0.625572,False,True,1
-0.15,15,0.627951,False,True,1
-0.06,6,0.628956,False,True,1
-0.06,6,0.630036,False,True,1
-0.03,3,0.630578,False,True,1
-0.07,7,0.631937,False,True,1
1.9,10,0.633747,False,True,3
-0.06,6,0.634825,False,True,1
-0.01,1,0.63504,False,True,1
3.86,14,0.637352,False,True,5
-0.02,2,0.637731,False,True,1
0.89,11,0.639558,False,True,2
-0.02,2,0.639939,False,True,1
1.89,11,0.641754,False,True,3
-0.09,9,0.643231,False,True,1
0.86,14,0.645538,False,True,2
-0.18,18,0.648475,False,True,1
-0.01,1,0.648691,False,True,1
1.97,3,0.649227,False,True,3
0.94,6,0.650253,False,True,2
-0.07,7,0.651428,False,True,1
-0.05,5,0.652278,False,True,1
-0.03,3,0.652803,False,True,1
-0.02,2,0.65317,False,True,1
-0.06,6,0.654195,False,True,1
-0.01,1,0.654405,False,True,1
0.9,10,0.65606,False,True,2
-0.13,13,0.658191,False,True,1
0.95,5,0.659037,False,True,2
-0.06,6,0.660046,False,True,1
-0.01,1,0.660251,False,True,1
