#{"t_start": 1787298465.0913558, "env_id": "None"}
r,l,t,success,collision,max_y
0.88,12,0.454107,False,True,2
-0.01,1,0.454247,False,True,1
-0.17,17,0.454929,False,True,1
-0.08,8,0.455273,False,True,1
-0.05,5,0.45999,False,True,1
-0.01,1,0.461444,False,True,1
-0.13,13,0.46203,False,True,1
-0.13,13,0.462934,False,True,1
0.79,21,0.466846,False,True,2
-0.19,19,0.467682,False,True,1
-0.04,4,0.467895,False,True,1
-0.09,9,0.468439,False,True,1
-0.11,11,0.47022,False,True,1
-0.13,13,0.470828,False,True,1
-0.16,16,0.471497,False,True,1
-0.04,4,0.471705,False,True,1
-0.01,1,0.471888,False,True,1
-0.05,5,0.472164,False,True,1
-0.06,6,0.472435,False,True,1
-0.01,1,0.472512,False,True,1
0.72,28,0.473729,False,True,2
-0.03,3,0.473901,False,True,1
-0.01,1,0.47397,False,True,1
-0.08,8,0.474305,False,True,1
-0.02,2,0.474501,False,True,1
-0.02,2,0.474621,False,True,1
-0.06,6,0.474906,False,True,1
0.76,24,0.475875,False,True,2
-0.05,5,0.476206,False,True,1
-0.01,1,0.476287,False,True,1
0.8,20,0.477096,False,True,2
-0.06,6,0.477368,False,True,1
-0.01,1,0.47766,False,True,1
-0.04,4,0.477888,False,True,1
-0.05,5,0.478127,False,True,1
-0.17,17,0.478986,False,True,1
0.92,8,0.479567,False,True,2
-0.01,1,0.479658,False,True,1
1.84,16,0.480315,False,True,3
-0.07,7,0.480629,False,True,1
1.94,6,0.481169,False,True,3
-0.18,18,0.481938,False,True,1
1.92,8,0.482296,False,True,3
1.88,12,0.482808,False,True,3
-0.05,5,0.48322,False,True,1
-0.05,5,0.483458,False,True,1
-0.05,5,0.483698,False,True,1
-0.08,8,0.484053,False,True,1
-0.03,3,0.484308,False,True,1
-0.01,1,0.484385,False,True,1
-0.03,3,0.484554,False,True,1
-0.06,6,0.48484,False,True,1
-0.13,13,0.48544,False,True,1
-0.16,16,0.486081,False,True,1
1.81,19,0.486826,False,True,3
1.81,19,0.48758,False,True,3
-0.03,3,0.487814,False,True,1
1.79,21,0.488641,False,True,3
-0.02,2,0.488911,False,True,1
-0.01,1,0.489051,False,True,1
-0.08,8,0.489778,False,True,1
0.82,18,0.490545,False,True,2
-0.64,64,0.492936,False,True,1
-0.06,6,0.493228,False,True,1
-0.08,8,0.493785,False,True,1
1.74,26,0.494819,False,True,3
1.76,24,0.495775,False,True,3
-0.11,11,0.496221,False,True,1
-0.05,5,0.49657,False,True,1
-0.09,9,0.496947,False,True,1
-0.05,5,0.497169,False,True,1
0.92,8,0.497508,False,True,2
-0.21,21,0.498463,False,True,1
-0.15,15,0.499067,False,True,1
-0.08,8,0.499433,False,True,1
-0.07,7,0.499762,False,True,1
-0.03,3,0.500012,False,True,1
1.87,13,0.500778,False,True,3
-0.14,14,0.501448,False,True,1
-0.06,6,0.501739,False,True,1
-0.05,5,0.502108,False,True,1
-0.07,7,0.502424,False,True,1
-0.02,2,0.50254,False,True,1
-0.02,2,0.502666,False,True,1
-0.06,6,0.502998,False,True,1
-0.12,12,0.503489,False,True,1
-0.17,17,0.504174,False,True,1
-0.06,6,0.504427,False,True,1
-0.12,12,0.504996,False,True,1
0.75,25,0.505949,False,True,2
-0.08,8,0.506285,False,True,1
-0.07,7,0.5066,False,True,1
0.94,6,0.506956,False,True,2
-0.02,2,0.507072,False,True,1
1.88,12,0.507568,False,True,3
-0.02,2,0.507691,False,True,1
-0.01,1,0.507826,False,True,1
0.85,15,0.508522,False,True,2
-0.06,6,0.508803,False,True,1
-0.06,6,0.509097,False,True,1
-0.04,4,0.509622,False,True,1
1.94,6,0.509915,False,True,3
-0.05,5,0.510245,False,True,1
-0.1,10,0.510722,False,True,1
-0.25,25,0.513131,False,True,1
-0.02,2,0.513273,False,True,1
1.91,9,0.513718,False,True,3
1.93,7,0.514059,False,True,3
-0.05,5,0.514383,False,True,1
