#{"t_start": 1787335567.338359, "env_id": "None"}
r,l,t
1.84,16,0.628291
1.87,13,0.632065
-0.02,2,0.633172
-0.02,2,0.633905
-0.15,15,0.63833
0.96,4,0.639556
-0.01,1,0.639931
0.85,15,0.64423
3.75,25,0.651348
-0.13,13,0.655067
3.84,16,0.659609
-0.04,4,0.660825
-0.06,6,0.830318
-0.03,3,0.831606
-0.06,6,0.833559
-0.07,7,0.835845
-0.06,6,0.837763
-0.05,5,0.839547
1.81,19,0.84516
-0.03,3,0.84615
-0.05,5,0.847845
-0.13,13,0.852256
-0.02,2,0.853017
-0.21,21,0.858901
-0.02,2,0.859546
2.8,20,0.865709
1.8,20,0.988607
1.84,16,0.993361
-0.02,2,0.994028
-0.13,13,0.997798
-0.03,3,0.998729
-0.04,4,0.999952
-0.01,1,1.000327
-0.05,5,1.001838
-0.04,4,1.003071
-0.06,6,1.004835
-0.01,1,1.005206
-0.02,2,1.005868
-0.03,3,1.006798
-0.12,12,1.010261
-0.01,1,1.010646
1.88,12,1.014107
-0.05,5,1.015595
0.93,7,1.017657
-0.01,1,1.018032
-0.06,6,1.01981
-0.02,2,1.020465
-0.03,3,1.021403
-0.15,15,1.128503
-0.03,3,1.129564
-0.01,1,1.129961
1.63,37,1.140594
-0.01,1,1.140981
0.86,14,1.145044
1.79,21,1.151074
-0.08,8,1.153618
2.83,17,1.159265
1.9,10,1.162416
-0.09,9,1.165165
-0.02,2,1.165856
-0.02,2,1.352314
-0.04,4,1.353713
-0.07,7,1.35576
0.96,4,1.356979
-0.12,12,1.360363
-0.03,3,1.361888
1.83,17,1.366698
1.88,12,1.370066
-0.15,15,1.375359
-0.02,2,1.376118
-0.02,2,1.376847
-0.09,9,1.380235
-0.05,5,1.38206
-0.19,19,1.387448
1.9,10,1.39031
0.9,10,1.505806
-0.06,6,1.507798
-0.05,5,1.509349
-0.12,12,1.512826
-0.04,4,1.514047
1.93,7,1.516114
3.71,29,1.524406
0.85,15,1.5287
1.95,5,1.530189
-0.14,14,1.534189
-0.09,9,1.536795
1.91,9,1.539398
1.91,9,1.54199
-0.05,5,1.690684
-0.03,3,1.691726
-0.04,4,1.692993
-0.06,6,1.694823
1.94,6,1.696641
-0.08,8,1.69928
-0.04,4,1.700553
1.75,25,1.707699
3.88,12,1.711157
1.92,8,1.713482
1.96,4,1.714694
-0.03,3,1.715627
0.97,3,1.716559
-0.04,4,1.717763
1.97,3,1.718691
1.95,5,1.720171
3.91,9,1.722772
1.86,14,1.726781
1.92,8,1.867093
-0.01,1,1.867563
-0.02,2,1.868252
1.97,3,1.86926
0.94,6,1.871264
3.88,12,1.874827
-0.04,4,1.876052
-0.01,1,1.876421
-0.04,4,1.877635
-0.03,3,1.878578
3.78,22,1.884795
2.88,12,1.888245
1.88,12,1.891705
-0.03,3,1.892646
1.95,5,1.894149
-0.02,2,1.894797
1.81,19,1.900169
-0.04,4,1.901373
1.91,9,2.029404
-0.01,1,2.029894
-0.01,1,2.030286
1.95,5,2.031829
0.92,8,2.034187
1.91,9,2.036807
1.94,6,2.038576
0.89,11,2.041751
-0.01,1,2.042122
3.9,10,2.044992
1.97,3,2.045916
1.86,14,2.049872
1.97,3,2.050802
1.96,4,2.052011
-0.01,1,2.052373
-0.03,3,2.053306
1.92,8,2.055603
-0.05,5,2.057085
-0.03,3,2.058059
-0.04,4,2.059271
-0.03,3,2.060188
2.95,5,2.0617
-0.01,1,2.062072
-0.03,3,2.062992
-0.01,1,2.063357
1.87,13,2.067404
1.97,3,2.166584
-0.04,4,2.16811
-0.02,2,2.168778
1.97,3,2.169726
5.84,16,2.174211
1.95,5,2.175963
1.93,7,2.178133
-0.01,1,2.178516
1.96,4,2.17977
1.97,3,2.18092
-0.01,1,2.181348
-0.01,1,2.18174
2.93,7,2.183898
3.93,7,2.18601
0.91,9,2.188696
-0.07,7,2.190769
-0.01,1,2.191166
1.95,5,2.192685
2.85,15,2.197039
1.92,8,2.199376
5.85,15,2.203705
5.83,17,2.313384
1.95,5,2.314975
-0.03,3,2.315929
1.96,4,2.317157
-0.02,2,2.317809
-0.01,1,2.318177
3.87,13,2.321887
-0.02,2,2.322541
1.93,7,2.324598
1.96,4,2.325891
1.9,10,2.329058
3.95,5,2.330637
3.92,8,2.333545
2.85,15,2.338062
-0.03,3,2.339021
-0.02,2,2.339688
3.92,8,2.342681
1.94,6,2.344707
1.96,4,2.345962
1.9,10,2.34881
-0.03,3,2.349721
3.9,10,2.451497
0.96,4,2.452817
-0.03,3,2.453771
-0.08,8,2.456152
-0.05,5,2.457686
-0.05,5,2.459206
0.86,14,2.463242
-0.01,1,2.463629
3.95,5,2.465138
4.91,9,2.467744
-0.01,1,2.468115
1.93,7,2.470141
-0.03,3,2.471072
-0.06,6,2.472829
5.89,11,2.476016
6.83,17,2.480887
5.88,12,2.484326
1.91,9,2.584146
1.87,13,2.58817
5.87,13,2.59197
1.94,6,2.593761
1.93,7,2.595817
5.92,8,2.598184
-0.01,1,2.598566
1.97,3,2.599511
3.93,7,2.601572
1.93,7,2.603628
3.91,9,2.606247
1.93,7,2.608287
3.95,5,2.609781
1.93,7,2.611848
5.88,12,2.615304
-0.06,6,2.617062
-0.03,3,2.618002
1.95,5,2.619502
-0.04,4,2.620701
-0.08,8,2.709551
1.91,9,2.712219
1.97,3,2.713166
-0.01,1,2.713529
1.93,7,2.715546
-0.02,2,2.716191
-0.05,5,2.717971
1.95,5,2.719669
-0.06,6,2.721498
3.93,7,2.723601
1.96,4,2.724846
-0.07,7,2.726918
1.95,5,2.728481
1.94,6,2.730494
-0.02,2,2.73117
1.96,4,2.732386
-0.06,6,2.734713
-0.02,2,2.735387
-0.11,11,2.73866
1.88,12,2.742165
-0.02,2,2.742841
1.95,5,2.744354
1.96,4,2.745575
3.93,7,2.747644
1.94,6,2.837168
3.95,5,2.838781
1.86,14,2.842826
3.95,5,2.844335
-0.05,5,2.845844
1.94,6,2.847626
1.97,3,2.848565
0.93,7,2.850609
5.92,8,2.852924
5.92,8,2.855246
-0.05,5,2.856727
-0.04,4,2.857931
3.92,8,2.860255
4.91,9,2.862855
1.96,4,2.86407
0.97,3,2.864991
3.93,7,2.867012
1.9,10,2.869879
1.94,6,2.871628
2.94,6,2.873392
3.9,10,2.96567
1.96,4,2.967044
1.97,3,2.96799
3.94,6,2.969781
1.94,6,2.971561
-0.01,1,2.971934
1.96,4,2.973165
1.96,4,2.974388
3.93,7,2.976457
1.91,9,2.979075
1.92,8,2.981392
1.92,8,2.983718
3.91,9,2.986327
1.94,6,2.988091
1.96,4,2.989309
3.94,6,2.991075
-0.01,1,2.991438
-0.01,1,2.991797
3.93,7,2.993847
3.94,6,2.995613
1.88,12,2.999256
1.95,5,3.000775
3.91,9,3.086343
-0.02,2,3.087072
3.92,8,3.089407
1.96,4,3.090622
1.97,3,3.091546
1.96,4,3.092754
1.96,4,3.093966
-0.02,2,3.094606
3.92,8,3.096898
2.95,5,3.098383
2.95,5,3.099856
13.86,14,3.103806
1.97,3,3.104736
3.91,9,3.107297
5.92,8,3.10958
1.93,7,3.111621
1.96,4,3.112811
1.97,3,3.113726
-0.06,6,3.115455
-0.04,4,3.116639
1.95,5,3.118109
1.97,3,3.119095
3.95,5,3.120615
3.93,7,3.21685
-0.02,2,3.217631
3.94,6,3.219439
1.95,5,3.220918
13.9,10,3.223737
3.92,8,3.226472
1.93,7,3.228705
-0.02,2,3.229384
1.96,4,3.2306
1.95,5,3.232105
5.93,7,3.234175
1.93,7,3.236294
-0.03,3,3.237226
1.91,9,3.239835
1.96,4,3.241044
3.95,5,3.24254
1.95,5,3.244035
-0.04,4,3.245243
-0.04,4,3.246452
-0.01,1,3.246825
-0.02,2,3.247476
3.95,5,3.24898
5.88,12,3.25242
-0.03,3,3.253346
5.9,10,3.344685
5.91,9,3.347497
-0.01,1,3.347881
1.97,3,3.34883
1.94,6,3.350635
5.92,8,3.353049
-0.05,5,3.354564
1.93,7,3.356625
1.96,4,3.357838
-0.01,1,3.358203
1.96,4,3.359415
1.96,4,3.360619
1.97,3,3.361569
5.88,12,3.365006
1.94,6,3.366774
1.97,3,3.36771
1.96,4,3.368917
5.92,8,3.371237
1.93,7,3.373282
5.9,10,3.37616
1.94,6,3.37794
5.92,8,3.380259
3.89,11,3.468092
-0.05,5,3.4697
3.94,6,3.471499
1.97,3,3.472438
3.9,10,3.475349
3.95,5,3.476842
5.85,15,3.481114
1.94,6,3.482875
1.97,3,3.483805
3.94,6,3.485576
3.95,5,3.487065
5.91,9,3.489655
1.95,5,3.491128
1.9,10,3.49397
-0.05,5,3.49545
-0.02,2,3.496103
-0.01,1,3.496466
1.95,5,3.497944
3.93,7,3.49997
1.96,4,3.50117
-0.01,1,3.501535
-0.03,3,3.502452
3.92,8,3.598134
5.92,8,3.60067
1.95,5,3.602203
-0.03,3,3.603146
1.97,3,3.604085
3.91,9,3.606717
1.97,3,3.60765
5.93,7,3.609697
3.93,7,3.611756
3.94,6,3.613548
3.95,5,3.615038
-0.03,3,3.615965
5.92,8,3.618381
-0.02,2,3.619072
5.91,9,3.621748
5.92,8,3.624276
-0.04,4,3.6255
