#{"t_start": 1787326124.58169, "env_id": "None"}
r,l,t
-0.04,4,0.630026
-0.03,3,0.631188
-0.3,30,0.640803
0.77,23,0.648133
3.92,8,0.650747
-0.22,22,0.657617
-0.08,8,0.660198
-0.08,8,0.663124
1.92,8,0.665879
-0.1,10,0.669189
-0.02,2,0.669925
-0.01,1,0.670334
-0.05,5,1.126237
-0.05,5,1.128063
-0.11,11,1.1316
-0.05,5,1.133244
2.87,13,1.137339
1.9,10,1.140523
1.89,11,1.143979
1.9,10,1.147146
-0.14,14,1.151527
-0.06,6,1.153466
-0.03,3,1.154473
-0.01,1,1.154868
0.89,11,1.158329
1.91,9,1.161216
-0.08,8,1.163764
2.88,12,1.406979
1.92,8,1.409797
-0.05,5,1.411514
0.91,9,1.414482
-0.05,5,1.416204
-0.06,6,1.418201
-0.05,5,1.419894
1.75,25,1.427887
-0.01,1,1.428299
-0.18,18,1.434052
1.67,33,1.444532
1.87,13,1.901778
-0.18,18,1.907682
-0.1,10,1.910958
-0.05,5,1.912638
-0.06,6,1.91463
0.87,13,1.91882
-0.18,18,1.924563
-0.02,2,1.925294
-0.02,2,1.926021
-0.01,1,1.926426
1.93,7,1.92873
1.9,10,1.931973
-0.01,1,1.932387
-0.02,2,1.933111
-0.12,12,1.937001
-0.01,1,1.937412
-0.02,2,1.938133
-0.02,2,1.938852
-0.14,14,2.24263
-0.14,14,2.247232
-0.09,9,2.250101
-0.04,4,2.251443
-0.03,3,2.252463
-0.05,5,2.254099
-0.01,1,2.254501
-0.06,6,2.256431
0.96,4,2.257748
-0.03,3,2.258757
-0.03,3,2.259792
-0.02,2,2.260497
-0.11,11,2.263942
1.9,10,2.267096
-0.01,1,2.267496
1.95,5,2.26912
-0.06,6,2.271055
1.95,5,2.27267
-0.07,7,2.274894
-0.08,8,2.27741
1.93,7,2.279637
2.95,5,2.281272
-0.07,7,2.53206
-0.07,7,2.534718
3.93,7,2.537233
-0.07,7,2.540017
3.84,16,2.545892
1.96,4,2.547304
-0.01,1,2.547714
