#{"t_start": 1787334549.554027, "env_id": "None"}
r,l,t
-0.04,4,0.473796
-0.17,17,0.479531
-0.02,2,0.48028
0.94,6,0.482205
0.93,7,0.48456
0.85,15,0.489441
1.95,5,0.491212
-0.12,12,0.495094
0.8,20,0.501127
-0.01,1,0.501522
-0.07,7,0.503693
-0.27,27,0.511749
-0.08,8,0.626935
-0.04,4,0.62836
-0.05,5,0.629974
-0.15,15,0.634642
1.9,10,0.63841
-0.09,9,0.64179
-0.03,3,0.642854
1.88,12,0.646985
-0.03,3,0.648267
0.61,39,0.660808
0.91,9,0.663676
-0.09,9,0.666506
1.95,5,0.668368
-0.1,10,0.794813
-0.08,8,0.797386
-0.04,4,0.798687
1.94,6,0.800578
-0.05,5,0.802626
0.85,15,0.8074
-0.03,3,0.808417
1.94,6,0.810293
-0.1,10,0.813551
-0.06,6,0.815614
-0.01,1,0.816017
-0.02,2,0.81672
-0.02,2,0.817414
1.87,13,0.821382
1.97,3,0.822378
1.84,16,0.827961
-0.06,6,0.830092
-0.03,3,0.831125
-0.04,4,0.832412
0.79,21,0.929515
-0.02,2,0.930296
-0.02,2,0.931006
-0.02,2,0.931712
-0.02,2,0.932413
-0.01,1,0.932813
1.75,25,0.940354
-0.17,17,0.945476
-0.06,6,0.947365
1.84,16,0.952495
-0.01,1,0.952928
-0.02,2,0.953618
-0.12,12,0.957241
-0.06,6,0.959492
1.91,9,0.962639
-0.02,2,0.963424
2.9,10,1.087417
-0.06,6,1.089531
-0.06,6,1.091442
-0.02,2,1.092138
-0.05,5,1.093725
-0.03,3,1.094707
0.91,9,1.098048
-0.03,3,1.099311
-0.02,2,1.100033
-0.05,5,1.101623
-0.11,11,1.104953
-0.03,3,1.105926
0.92,8,1.10892
1.9,10,1.11207
-0.04,4,1.113353
0.87,13,1.117679
1.9,10,1.121067
1.94,6,1.123007
2.9,10,1.126204
-0.08,8,1.128742
-0.08,8,1.20532
-0.05,5,1.207003
-0.02,2,1.207701
1.92,8,1.210568
-0.07,7,1.212825
0.83,17,1.219048
1.89,11,1.222615
-0.02,2,1.223421
-0.03,3,1.224424
-0.09,9,1.227402
-0.05,5,1.229057
-0.05,5,1.230627
1.79,21,1.236951
1.88,12,1.240557
-0.01,1,1.240943
-0.17,17,1.351921
0.92,8,1.354521
1.71,29,1.363046
-0.06,6,1.364892
1.93,7,1.36702
-0.09,9,1.369721
-0.08,8,1.372135
1.83,17,1.377125
-0.07,7,1.379258
-0.09,9,1.38195
-0.03,3,1.382918
-0.01,1,1.383299
1.94,6,1.385253
-0.03,3,1.386353
5.89,11,1.389804
-0.13,13,1.51233
1.94,6,1.514301
-0.03,3,1.515296
-0.02,2,1.515983
-0.02,2,1.516668
1.92,8,1.519725
1.88,12,1.523555
1.86,14,1.527863
-0.05,5,1.529648
0.93,7,1.531926
-0.13,13,1.535908
-0.03,3,1.536894
-0.06,6,1.538845
0.88,12,1.54279
-0.01,1,1.543222
3.91,9,1.546063
-0.1,10,1.549222
