#{"t_start": 1787334052.112553, "env_id": "None"}
r,l,t
-0.04,4,0.62877
-0.17,17,0.634093
-0.02,2,0.634801
0.94,6,0.63669
0.93,7,0.639437
0.85,15,0.644165
1.95,5,0.645772
-0.12,12,0.649428
0.8,20,0.655651
-0.01,1,0.656142
-0.07,7,0.658511
-0.27,27,0.666906
-0.08,8,0.906229
-0.04,4,0.907753
-0.05,5,0.909413
-0.15,15,0.914111
1.9,10,0.917231
-0.09,9,0.920061
-0.03,3,0.92107
1.88,12,0.924866
-0.03,3,0.925901
1.6,40,0.938672
-0.03,3,0.939737
-0.11,11,0.943458
-0.02,2,0.944201
1.95,5,0.945835
1.76,24,1.203833
0.94,6,1.20614
-0.07,7,1.208533
-0.04,4,1.209827
-0.01,1,1.21022
1.88,12,1.213853
0.93,7,1.216363
-0.02,2,1.217191
0.92,8,1.219953
-0.02,2,1.220742
1.94,6,1.222704
-0.08,8,1.225227
-0.01,1,1.225636
1.94,6,1.227574
-0.01,1,1.227996
-0.02,2,1.2287
1.87,13,1.232766
-0.07,7,1.234968
-0.01,1,1.235366
-0.06,6,1.23725
-0.15,15,1.456084
0.94,6,1.458084
-0.03,3,1.459094
-0.01,1,1.459492
1.95,5,1.461092
-0.23,23,1.46882
-0.01,1,1.469314
-0.01,1,1.469733
1.79,21,1.47615
-0.12,12,1.480289
1.93,7,1.482695
-0.02,2,1.48349
-0.09,9,1.486383
1.93,7,1.488724
-0.06,6,1.49075
0.93,7,1.49301
-0.01,1,1.49342
1.97,3,1.494444
-0.07,7,1.725165
-0.04,4,1.726636
-0.07,7,1.728959
-0.02,2,1.729778
1.87,13,1.73389
0.88,12,1.737631
-0.02,2,1.738333
-0.02,2,1.739027
-0.06,6,1.74093
-0.08,8,1.743445
0.94,6,1.745344
-0.06,6,1.747239
-0.06,6,1.749129
0.86,14,1.753381
3.84,16,1.758223
-0.02,2,1.758919
1.95,5,1.760505
-0.07,7,1.762665
2.84,16,1.941221
3.89,11,1.94466
-0.01,1,1.945057
-0.04,4,1.946342
-0.02,2,1.94702
-0.02,2,1.947706
1.9,10,1.951278
0.93,7,1.953586
3.9,10,1.956744
1.91,9,1.959578
-0.05,5,1.961211
1.95,5,1.962822
-0.03,3,1.963834
-0.03,3,1.96483
-0.03,3,1.965839
-0.12,12,1.969544
-0.03,3,1.970545
-0.03,3,1.971537
-0.04,4,1.972833
3.83,17,1.978167
-0.07,7,2.160689
-0.05,5,2.162514
1.97,3,2.163546
1.92,8,2.166106
-0.02,2,2.16682
1.82,18,2.172363
0.95,5,2.173972
-0.03,3,2.174979
2.91,9,2.177781
-0.02,2,2.178477
-0.05,5,2.180076
-0.02,2,2.180772
-0.05,5,2.182369
1.82,18,2.187843
1.85,15,2.192417
-0.04,4,2.193693
-0.02,2,2.194388
-0.03,3,2.195423
1.95,5,2.197013
1.95,5,2.198597
-0.01,1,2.198987
1.96,4,2.200284
-0.01,1,2.200677
-0.1,10,2.401444
3.92,8,2.404053
1.94,6,2.405962
-0.01,1,2.406356
1.93,7,2.408573
1.95,5,2.410166
1.95,5,2.411763
1.91,9,2.414546
1.94,6,2.416424
3.9,10,2.419519
-0.01,1,2.41991
1.94,6,2.421794
-0.03,3,2.422785
-0.05,5,2.424357
-0.03,3,2.425338
-0.03,3,2.426319
-0.03,3,2.427313
3.89,11,2.430681
1.88,12,2.434338
-0.01,1,2.434729
2.92,8,2.43719
-0.03,3,2.438169
1.95,5,2.582389
1.94,6,2.584491
1.94,6,2.586406
0.96,4,2.587699
1.95,5,2.589288
-0.02,2,2.589971
3.91,9,2.593215
0.96,4,2.594716
-0.03,3,2.595742
1.88,12,2.599476
1.95,5,2.601179
1.95,5,2.603008
-0.03,3,2.604079
1.89,11,2.607554
1.92,8,2.610227
4.85,15,2.614923
-0.03,3,2.615936
-0.02,2,2.616627
1.92,8,2.619178
-0.02,2,2.61988
1.93,7,2.62207
1.96,4,2.623356
-0.04,4,2.794068
3.91,9,2.797048
-0.02,2,2.797747
2.91,9,2.800504
1.95,5,2.802074
1.9,10,2.805645
-0.03,3,2.806746
-0.05,5,2.80839
-0.03,3,2.809405
-0.01,1,2.809806
1.93,7,2.812035
1.93,7,2.814254
1.96,4,2.815554
-0.06,6,2.817455
3.92,8,2.81997
1.95,5,2.821579
1.91,9,2.824374
3.88,12,2.828081
3.85,15,2.832662
3.93,7,2.834866
-0.04,4,3.001238
1.97,3,3.00236
-0.09,9,3.005193
-0.02,2,3.0059
3.91,9,3.008688
1.95,5,3.010302
-0.01,1,3.010692
1.93,7,3.012891
-0.02,2,3.013579
-0.05,5,3.015168
3.9,10,3.018252
5.91,9,3.02127
1.93,7,3.023505
-0.02,2,3.02421
3.94,6,3.026134
1.93,7,3.028382
1.94,6,3.030292
-0.02,2,3.030987
-0.04,4,3.032273
5.88,12,3.035962
-0.04,4,3.037251
1.97,3,3.038243
2.93,7,3.040424
1.91,9,3.185268
-0.01,1,3.185731
-0.02,2,3.186429
-0.01,1,3.186823
1.97,3,3.187807
1.97,3,3.188792
3.91,9,3.191552
1.95,5,3.193519
1.92,8,3.196369
1.96,4,3.19772
-0.01,1,3.198132
-0.06,6,3.20004
-0.03,3,3.201054
