#{"t_start": 1787335010.225128, "env_id": "None"}
r,l,t
1.97,3,0.733537
13.85,15,0.738628
1.97,3,0.739654
3.89,11,0.743261
1.97,3,0.744588
1.97,3,0.745867
1.95,5,0.747747
5.93,7,0.749862
1.97,3,0.75081
3.94,6,0.752607
1.94,6,0.754622
1.96,4,0.755898
3.94,6,0.757708
3.9,10,0.760641
1.97,3,0.761581
5.93,7,0.763645
5.9,10,0.766556
5.92,8,0.768911
1.97,3,0.769838
1.96,4,0.77105
1.96,4,0.772298
1.96,4,0.773507
1.97,3,0.918957
3.84,16,0.924797
1.93,7,0.927237
1.97,3,0.92859
1.97,3,0.929863
1.97,3,0.931018
1.96,4,0.932583
3.95,5,0.934286
3.92,8,0.938396
1.97,3,0.939778
1.94,6,0.942173
5.92,8,0.944559
13.9,10,0.947492
1.95,5,0.949327
3.93,7,0.951563
5.9,10,0.954901
3.92,8,0.957706
1.97,3,0.95873
1.94,6,0.960757
5.92,8,0.963178
1.97,3,1.06915
1.97,3,1.070548
1.94,6,1.072564
1.95,5,1.074557
1.94,6,1.076518
1.96,4,1.077895
13.77,23,1.084759
1.94,6,1.087387
5.89,11,1.091136
13.91,9,1.093938
1.94,6,1.095823
1.94,6,1.09772
1.96,4,1.099166
1.95,5,1.100718
3.94,6,1.102535
1.93,7,1.104651
1.94,6,1.10648
5.93,7,1.108601
3.95,5,1.110131
1.97,3,1.242509
3.92,8,1.245139
1.97,3,1.246118
1.97,3,1.247052
1.93,7,1.249775
5.86,14,1.254995
5.86,14,1.260535
5.89,11,1.26478
1.97,3,1.266047
5.89,11,1.269334
5.9,10,1.272645
1.96,4,1.27417
1.97,3,1.275186
1.97,3,1.276202
1.94,6,1.278012
13.88,12,1.28156
3.95,5,1.283664
5.92,8,1.286368
1.97,3,1.385643
5.85,15,1.390987
3.95,5,1.392658
13.88,12,1.396828
3.95,5,1.398508
13.86,14,1.402762
1.97,3,1.403724
3.92,8,1.40689
1.93,7,1.409505
1.97,3,1.410725
5.72,28,1.419922
5.92,8,1.422615
1.97,3,1.423627
13.88,12,1.427573
3.95,5,1.567035
1.96,4,1.568428
1.94,6,1.570288
3.93,7,1.572358
1.97,3,1.573293
1.97,3,1.574221
1.97,3,1.57514
13.86,14,1.58
5.92,8,1.582765
1.97,3,1.583796
1.96,4,1.585071
1.97,3,1.586141
1.97,3,1.587242
13.9,10,1.590325
3.88,12,1.594045
1.97,3,1.595061
1.97,3,1.596044
1.97,3,1.597026
13.89,11,1.600415
5.9,10,1.603406
3.93,7,1.605507
1.94,6,1.60736
1.97,3,1.701439
1.97,3,1.702466
1.97,3,1.703417
1.93,7,1.705451
1.97,3,1.706375
3.91,9,1.708943
1.97,3,1.709862
5.84,16,1.714988
13.91,9,1.71776
3.93,7,1.719853
3.92,8,1.72219
3.93,7,1.724344
1.97,3,1.725321
3.94,6,1.727105
1.97,3,1.728045
1.97,3,1.728979
3.92,8,1.731295
1.94,6,1.733187
13.9,10,1.736093
1.97,3,1.737024
2.92,8,1.739335
1.97,3,1.838734
5.93,7,1.84107
3.93,7,1.843198
1.97,3,1.84416
1.97,3,1.845118
1.97,3,1.846068
5.88,12,1.85018
1.97,3,1.851231
1.94,6,1.853231
1.96,4,1.854499
1.94,6,1.856323
1.97,3,1.857414
1.96,4,1.85888
1.97,3,1.859866
1.97,3,1.860833
3.89,11,1.86407
1.96,4,1.865346
1.93,7,1.868021
5.89,11,1.871781
3.92,8,1.874141
1.97,3,1.875086
1.96,4,1.876285
1.97,3,1.877206
1.97,3,1.878619
1.95,5,1.880393
3.85,15,1.97392
1.96,4,1.975224
3.93,7,1.977337
