#{"t_start": 1787331164.389289, "env_id": "None"}
r,l,t
13.73,27,0.738783
1.83,17,0.744961
1.96,4,0.746326
3.86,14,0.751546
3.88,12,0.755762
1.96,4,0.757243
3.84,16,0.76283
13.66,34,0.7786
3.91,9,1.271107
13.56,44,1.285861
1.89,11,1.289974
1.84,16,1.295163
13.54,46,1.310141
1.84,16,1.769952
1.96,4,1.771418
13.69,31,1.782216
1.79,21,1.789752
3.87,13,1.794638
3.9,10,1.798118
3.74,26,1.806879
3.82,18,2.211155
1.88,12,2.215047
13.75,25,2.22384
1.89,11,2.227694
3.64,36,2.239479
13.81,19,2.245899
1.96,4,2.247405
5.69,31,2.69216
5.17,83,2.718631
3.91,9,2.721612
3.68,32,3.424238
1.96,4,3.425672
0.0,100,3.456807
1.85,15,4.321505
5.79,21,4.332216
3.87,13,4.337115
3.81,19,4.346214
1.86,14,4.354561
1.86,14,4.359754
1.96,4,4.362073
1.86,14,4.367132
1.83,17,4.373735
13.67,33,4.783625
1.96,4,4.785354
1.83,17,4.792799
5.56,44,4.808715
1.87,13,4.814157
1.88,12,4.818264
3.89,11,4.822482
1.84,16,5.52949
1.9,10,5.533162
5.75,25,5.5419
3.75,25,5.550778
1.86,14,5.555777
3.79,21,5.562972
3.86,14,5.567967
3.86,14,5.93338
1.87,13,5.937715
1.87,13,5.942502
5.58,42,5.956927
1.89,11,5.960543
3.83,17,5.966433
13.12,88,6.411038
3.78,22,6.417946
13.6,40,7.00485
1.82,18,7.010941
13.66,34,7.021494
3.84,16,7.026486
13.47,53,7.042743
1.96,4,7.044069
5.38,62,7.494617
5.72,28,7.503554
13.46,54,7.954035
3.89,11,7.957587
1.96,4,7.958926
0.0,100,8.792834
13.77,23,8.800908
3.91,9,8.803955
3.88,12,8.807904
5.43,57,8.826011
3.85,15,8.830806
3.91,9,8.833686
3.69,31,9.419672
3.88,12,9.42462
1.86,14,9.4294
13.59,41,9.443522
1.84,16,9.449113
3.85,15,9.454876
3.87,13,9.96858
3.73,27,9.97891
3.85,15,9.984536
1.96,4,9.986092
13.78,22,9.994279
13.6,40,10.009404
3.88,12,10.426892
13.6,40,10.441531
3.82,18,10.448047
1.96,4,10.449468
1.96,4,10.450809
1.96,4,10.452133
3.79,21,10.459525
3.9,10,10.462785
5.65,35,11.078205
5.63,37,11.090976
3.86,14,11.096112
1.96,4,11.097672
13.7,30,11.108749
13.59,41,11.611777
1.96,4,11.613398
5.8,20,11.620513
13.67,33,11.631739
3.86,14,11.636288
3.87,13,11.641213
5.75,25,11.64939
5.73,27,12.100465
5.81,19,12.107558
3.94,6,12.109616
3.91,9,12.112546
3.92,8,12.115976
1.96,4,12.117344
1.96,4,12.118688
3.89,11,12.122312
3.84,16,12.127597
13.78,22,12.135681
3.82,18,12.484166
1.88,12,12.488115
13.67,33,12.499476
5.79,21,12.506683
13.67,33,12.518144
13.77,23,12.887242
13.82,18,12.89418
13.8,20,12.901658
3.77,23,12.910712
3.85,15,12.916693
1.96,4,12.918238
1.86,14,12.923747
1.96,4,12.925237
5.82,18,12.932184
1.85,15,13.271244
1.96,4,13.273879
1.96,4,13.275304
3.91,9,13.278508
3.91,9,13.281932
1.96,4,13.28347
13.66,34,13.295719
3.84,16,13.301682
13.67,33,13.315434
1.96,4,13.317441
1.9,10,13.825769
3.84,16,13.83235
3.87,13,13.837159
1.96,4,13.838592
13.65,35,13.854174
1.96,4,13.856704
13.81,19,13.863369
13.67,33,13.8746
1.96,4,14.388516
5.68,32,14.401043
1.96,4,14.402467
3.9,10,14.405995
13.72,28,14.415429
3.78,22,14.422709
5.66,34,14.803487
3.88,12,14.808231
3.8,20,14.815659
3.77,23,14.823702
1.91,9,14.826669
13.82,18,14.832778
3.86,14,14.837296
1.85,15,14.843108
5.81,19,15.201222
5.79,21,15.208226
3.89,11,15.212331
3.91,9,15.215822
13.82,18,15.22194
5.81,19,15.228366
5.79,21,15.235738
5.65,35,15.578535
1.88,12,15.582561
3.92,8,15.585881
3.92,8,15.58903
1.96,4,15.590482
3.89,11,15.594355
3.9,10,15.597994
5.74,26,15.606756
3.89,11,15.610409
13.79,21,15.618042
1.85,15,16.054137
3.91,9,16.057836
13.64,36,16.072076
5.83,17,16.078907
3.89,11,16.083583
1.88,12,16.087435
1.96,4,16.088774
3.9,10,16.092661
13.8,20,16.58398
5.79,21,16.591151
1.96,4,16.593006
3.76,24,16.601864
3.78,22,16.610858
3.91,9,16.614917
3.89,11,16.618868
1.86,14,16.623854
1.87,13,16.628721
5.59,41,17.022808
3.87,13,17.027153
3.89,11,17.031432
5.82,18,17.037255
3.85,15,17.042839
3.91,9,17.045878
13.78,22,17.053777
3.92,8,17.520064
3.9,10,17.524086
3.69,31,17.535096
1.96,4,17.536495
1.89,11,17.541033
1.96,4,17.542672
1.96,4,17.54406
1.96,4,17.545461
3.92,8,17.548637
5.79,21,17.55659
3.92,8,17.559395
1.89,11,17.562926
13.79,21,18.128129
13.74,26,18.13773
3.86,14,18.143064
5.83,17,18.150252
1.88,12,18.154477
3.9,10,18.158524
3.76,24,18.167263
1.96,4,18.168799
1.86,14,18.569842
3.86,14,18.575425
1.88,12,18.579671
1.84,16,18.585856
1.96,4,18.587291
3.89,11,18.591796
1.9,10,18.595653
13.82,18,18.608264
13.8,20,18.617476
13.81,19,18.625483
3.91,9,18.969779
1.89,11,18.974017
1.87,13,18.978748
3.85,15,18.984125
3.92,8,18.987378
1.96,4,18.989277
1.96,4,18.990723
5.68,32,19.001626
5.85,15,19.007156
1.96,4,19.008814
5.76,24,19.651009
13.77,23,19.660559
3.91,9,19.663585
3.74,26,19.673859
1.88,12,19.678804
3.9,10,19.683744
1.9,10,19.687402
3.89,11,19.692046
1.87,13,19.697083
1.9,10,20.132502
5.81,19,20.140094
5.83,17,20.145952
3.89,11,20.151188
3.92,8,20.15421
1.96,4,20.156641
3.92,8,20.159507
1.96,4,20.161032
3.92,8,20.163805
3.77,23,20.175437
13.79,21,20.561907
3.76,24,20.570434
3.85,15,20.576317
13.82,18,20.582885
1.96,4,20.584317
3.92,8,20.586905
1.87,13,20.591848
5.67,33,20.603705
1.96,4,20.605166
1.96,4,20.607201
3.9,10,21.107252
3.92,8,21.109991
3.76,24,21.118278
3.89,11,21.122582
1.87,13,21.127097
13.78,22,21.135538
3.85,15,21.141381
3.9,10,21.145146
3.85,15,21.150598
5.64,36,21.541256
1.89,11,21.544876
3.86,14,21.54982
3.88,12,21.553726
1.96,4,21.555785
3.77,23,21.563131
3.88,12,21.568049
5.84,16,21.573959
3.9,10,22.065989
1.96,4,22.067448
1.96,4,22.068805
1.96,4,22.070136
1.89,11,22.074508
5.74,26,22.083849
13.76,24,22.092919
3.92,8,22.095935
1.96,4,22.097865
3.9,10,22.10127
1.87,13,22.106097
3.91,9,22.109054
5.68,32,22.543161
3.81,19,22.54935
3.86,14,22.554742
3.87,13,22.559377
1.96,4,22.560749
1.85,15,22.566271
5.71,29,22.576097
5.68,32,23.012192
5.69,31,23.023757
5.81,19,23.032099
5.82,18,23.038941
5.71,29,23.052876
3.92,8,23.43304
3.91,9,23.43611
13.7,30,23.447137
1.96,4,23.449036
3.92,8,23.452223
3.92,8,23.455006
3.92,8,23.457614
13.67,33,23.469294
1.85,15,23.475185
1.96,4,23.476616
1.96,4,23.477955
1.96,4,23.967546
3.91,9,23.970771
1.88,12,23.97503
1.87,13,23.980069
3.83,17,23.986299
5.81,19,23.992619
3.86,14,23.998296
3.87,13,24.002723
3.79,21,24.010081
3.91,9,24.013199
3.81,19,24.362454
1.86,14,24.368191
1.96,4,24.369653
13.7,30,24.381005
3.92,8,24.383839
-0.03,3,24.384884
13.81,19,24.391386
3.9,10,24.395258
13.57,43,24.871264
13.68,32,24.881728
1.96,4,24.884085
5.67,33,24.895813
5.83,17,24.901612
3.82,18,24.90849
1.96,4,25.331517
3.81,19,25.339358
3.9,10,25.343004
3.86,14,25.348196
1.96,4,25.350149
1.86,14,25.354793
13.8,20,25.362487
3.85,15,25.368668
5.8,20,25.378685
3.85,15,25.733781
13.81,19,25.740231
1.96,4,25.74224
3.89,11,25.74604
13.73,27,25.755704
3.73,27,25.765073
3.89,11,25.769471
13.81,19,25.776346
3.92,8,26.200614
3.77,23,26.208947
1.87,13,26.213251
5.85,15,26.218065
13.7,30,26.229548
13.53,47,26.720811
1.89,11,26.725377
3.87,13,26.730024
13.56,44,26.745225
3.92,8,26.748144
13.51,49,26.765191
13.73,27,27.323528
3.84,16,27.328922
3.89,11,27.333423
3.88,12,27.337419
3.77,23,27.345145
1.96,4,27.346533
5.78,22,27.354716
1.96,4,27.356647
3.92,8,27.359693
3.78,22,27.774025
3.87,13,27.779087
3.91,9,27.782083
1.82,18,27.78844
1.86,14,27.793699
1.88,12,27.798135
1.96,4,27.799615
13.69,31,27.810592
1.96,4,27.81212
3.86,14,28.319179
3.92,8,28.322014
3.86,14,28.327227
5.83,17,28.33358
1.96,4,28.335007
13.62,38,28.349451
1.83,17,28.35554
1.96,4,28.357502
3.77,23,28.937997
3.75,25,28.948955
13.56,44,28.965551
13.55,45,28.980589
13.77,23,29.665964
3.88,12,29.670517
1.96,4,29.672598
13.59,41,29.68687
3.84,16,29.693262
13.67,33,29.704098
5.58,42,30.19073
5.59,41,30.20467
3.88,12,30.209025
13.55,45,30.664553
1.89,11,30.668334
5.76,24,30.677006
13.53,47,30.693143
5.81,19,30.69965
1.96,4,30.701139
3.87,13,30.705362
1.89,11,31.330435
13.74,26,31.341421
3.85,15,31.3467
5.59,41,31.361047
3.92,8,31.363819
13.47,53,31.804979
5.75,25,31.813779
3.87,13,31.818963
3.84,16,31.825133
