#{"t_start": 1787329158.1368918, "env_id": "None"}
r,l,t
-0.04,4,0.466313
-0.03,3,0.467678
-0.3,30,0.478518
0.77,23,0.486381
3.92,8,0.489275
-0.22,22,0.497333
-0.08,8,0.50036
-0.08,8,0.503296
1.92,8,0.506057
-0.1,10,0.509611
-0.02,2,0.510661
-0.01,1,0.511323
-0.05,5,0.947361
-0.05,5,0.949158
-0.11,11,0.952682
-0.05,5,0.954574
2.87,13,0.95915
1.9,10,0.962364
1.89,11,0.966415
1.9,10,0.970005
-0.14,14,0.974397
-0.06,6,0.976718
-0.03,3,0.977831
-0.01,1,0.978255
0.89,11,0.982301
1.91,9,0.985546
-0.08,8,0.988318
2.88,12,1.236001
1.92,8,1.23875
-0.05,5,1.240453
0.91,9,1.243382
-0.05,5,1.245053
-0.06,6,1.247495
-0.05,5,1.249212
1.75,25,1.257327
-0.01,1,1.257898
-0.18,18,1.264181
1.67,33,1.274786
1.87,13,1.732576
-0.18,18,1.738431
-0.1,10,1.742505
-0.05,5,1.744233
-0.06,6,1.746263
0.87,13,1.750991
-0.18,18,1.757356
-0.02,2,1.758136
-0.02,2,1.75895
-0.01,1,1.759386
1.93,7,1.761848
1.9,10,1.765362
-0.01,1,1.765818
-0.02,2,1.76665
-0.12,12,1.770763
-0.01,1,1.771257
-0.02,2,1.772036
-0.02,2,1.772803
-0.14,14,2.07472
-0.14,14,2.080391
-0.09,9,2.083691
-0.04,4,2.085173
-0.03,3,2.086254
-0.05,5,2.087936
-0.01,1,2.088357
-0.06,6,2.090411
0.96,4,2.091762
-0.03,3,2.092794
-0.03,3,2.094417
-0.02,2,2.095297
-0.11,11,2.099017
1.9,10,2.102349
-0.01,1,2.102783
1.95,5,2.104486
-0.06,6,2.106492
1.95,5,2.108163
-0.07,7,2.110466
-0.08,8,2.113085
1.93,7,2.115413
2.95,5,2.117094
-0.07,7,2.375657
-0.07,7,2.378662
3.93,7,2.381019
-0.07,7,2.383318
3.84,16,2.389016
1.96,4,2.390484
-0.01,1,2.390912
2.94,6,2.393134
2.94,6,2.395299
-0.02,2,2.396076
-0.1,10,2.399287
1.95,5,2.400965
-0.11,11,2.404509
1.92,8,2.407088
1.89,11,2.410867
1.96,4,2.412277
-0.01,1,2.412702
-0.01,1,2.413126
3.86,14,2.417516
-0.09,9,2.68629
1.89,11,2.690256
3.89,11,2.694384
3.91,9,2.697524
1.96,4,2.698926
1.94,6,2.700905
-0.01,1,2.701315
1.95,5,2.702956
0.97,3,2.704279
-0.03,3,2.70546
-0.01,1,2.705963
1.97,3,2.707114
1.96,4,2.708939
1.96,4,2.710495
-0.03,3,2.711602
5.89,11,2.715208
-0.02,2,2.71617
-0.01,1,2.716744
-0.03,3,2.717953
1.95,5,2.719767
1.92,8,2.72256
-0.03,3,2.723719
4.89,11,2.72748
1.95,5,2.729189
-0.02,2,2.729922
-0.02,2,2.730642
1.96,4,2.731987
1.94,6,2.955497
1.95,5,2.957321
-0.01,1,2.957756
3.93,7,2.960129
-0.01,1,2.960562
1.96,4,2.961907
1.94,6,2.964447
1.91,9,2.967791
