#{"t_start": 1787328354.86434, "env_id": "None"}
r,l,t
-0.04,4,0.459129
-0.03,3,0.460412
-0.3,30,0.471839
0.77,23,0.480483
3.92,8,0.483499
-0.22,22,0.492391
-0.08,8,0.495902
-0.08,8,0.499264
1.92,8,0.502343
-0.1,10,0.506062
-0.02,2,0.506887
-0.01,1,0.507344
-0.05,5,0.968811
-0.05,5,0.970812
-0.11,11,0.97478
-0.05,5,0.97717
2.87,13,0.98211
1.9,10,0.986018
1.89,11,0.990069
1.9,10,0.99369
-0.14,14,0.999523
-0.06,6,1.001937
-0.03,3,1.003127
-0.01,1,1.003582
0.89,11,1.007637
1.91,9,1.010996
-0.02,2,1.011817
-0.05,5,1.013704
1.94,6,1.015961
-0.05,5,1.278334
1.91,9,1.281835
-0.05,5,1.283748
0.9,10,1.287458
-0.01,1,1.287922
-0.04,4,1.289528
-0.06,6,1.29177
2.68,32,1.303641
0.72,28,1.314066
-0.02,2,1.314941
-0.06,6,1.317229
-0.1,10,1.320968
-0.16,16,1.815492
-0.28,28,1.826206
-0.12,12,1.83075
-0.04,4,1.832286
-0.03,3,1.833451
-0.11,11,1.837415
-0.09,9,1.840683
-0.04,4,1.842188
1.92,8,1.845397
-0.01,1,1.845899
-0.05,5,1.847837
-0.08,8,1.850844
-0.01,1,1.851323
-0.14,14,1.856414
-0.01,1,1.856871
-0.05,5,1.858757
-0.33,33,2.30616
1.89,11,2.310542
-0.04,4,2.312127
-0.08,8,2.317633
0.95,5,2.319993
-0.01,1,2.32048
-0.2,20,2.327955
-0.04,4,2.329679
-0.03,3,2.330892
0.95,5,2.332818
-0.06,6,2.335045
-0.07,7,2.337606
-0.13,13,2.342301
-0.01,1,2.342763
-0.06,6,2.344992
1.93,7,2.34755
-0.05,5,2.717928
0.88,12,2.722562
-0.08,8,2.725752
-0.06,6,2.728014
3.77,23,2.736387
1.96,4,2.738309
-0.05,5,2.74022
-0.07,7,2.742796
-0.04,4,2.744295
1.7,30,2.755267
3.92,8,2.758261
1.89,11,2.762218
-0.27,27,3.232623
-0.04,4,3.234211
1.83,17,3.240934
-0.11,11,3.244944
-0.01,1,3.245405
-0.05,5,3.247248
-0.04,4,3.249098
1.92,8,3.252165
1.91,9,3.255448
-0.01,1,3.255901
-0.12,12,3.260211
-0.06,6,3.26242
-0.07,7,3.264984
0.92,8,3.267907
-0.09,9,3.271135
-0.04,4,3.272632
1.83,17,3.593818
-0.05,5,3.595737
-0.05,5,3.597575
-0.05,5,3.599916
-0.06,6,3.60227
-0.06,6,3.604544
-0.06,6,3.606918
-0.02,2,3.607744
-0.02,2,3.608581
1.88,12,3.612954
-0.06,6,3.615172
1.82,18,3.625651
3.89,11,3.630036
1.9,10,3.634162
1.9,10,3.637822
1.88,12,3.954852
0.94,6,3.957438
-0.09,9,3.960975
1.96,4,3.96264
-0.05,5,3.964617
-0.02,2,3.96549
-0.02,2,3.96635
-0.04,4,3.967897
-0.1,10,3.971694
-0.06,6,3.974152
3.9,10,3.978239
-0.03,3,3.979646
1.94,6,3.982173
1.93,7,3.984872
2.85,15,3.991013
0.85,15,3.99658
-0.06,6,3.998974
1.89,11,4.002927
-0.04,4,4.00442
0.92,8,4.294098
-0.07,7,4.296805
0.95,5,4.29889
0.9,10,4.302661
-0.11,11,4.306727
1.88,12,4.311135
-0.03,3,4.312319
1.88,12,4.317314
-0.08,8,4.320313
1.85,15,4.326082
0.85,15,4.331725
1.9,10,4.335412
2.84,16,4.616146
-0.01,1,4.616715
-0.08,8,4.619717
-0.04,4,4.62123
3.89,11,4.625839
1.93,7,4.628629
-0.02,2,4.629472
1.94,6,4.631973
1.94,6,4.634401
1.88,12,4.639086
-0.06,6,4.641319
1.88,12,4.645622
-0.04,4,4.647195
1.79,21,4.655107
-0.01,1,4.655626
-0.02,2,4.656435
-0.06,6,4.658664
1.97,3,4.659823
2.86,14,4.664849
0.94,6,5.042776
-0.03,3,5.044046
-0.05,5,5.045918
-0.05,5,5.047765
-0.1,10,5.051973
-0.07,7,5.054698
-0.06,6,5.057325
-0.19,19,5.064494
-0.03,3,5.065694
-0.03,3,5.066875
-0.1,10,5.070762
-0.02,2,5.071625
-0.05,5,5.073475
1.92,8,5.07635
-0.03,3,5.077497
-0.04,4,5.079185
0.87,13,5.084349
-0.06,6,5.086601
1.69,31,5.427943
-0.05,5,5.430077
-0.03,3,5.431294
-0.02,2,5.432192
-0.24,24,5.44271
-0.02,2,5.444074
0.87,13,5.449157
-0.04,4,5.450689
-0.02,2,5.451492
1.88,12,5.456198
-0.06,6,5.458805
1.94,6,5.461118
-0.06,6,5.463362
0.87,13,5.468207
-0.05,5,5.470268
-0.08,8,5.870023
1.94,6,5.872427
-0.02,2,5.873267
-0.06,6,5.875928
-0.06,6,5.878693
-0.03,3,5.879984
-0.05,5,5.881895
-0.03,3,5.883286
0.89,11,5.887667
-0.02,2,5.888525
1.94,6,5.890783
0.95,5,5.892986
1.89,11,5.897278
-0.06,6,5.899569
-0.06,6,5.90515
-0.02,2,5.906432
1.95,5,5.908664
1.94,6,5.911011
1.93,7,5.913592
2.82,18,5.921034
1.95,5,5.923044
2.92,8,6.257578
0.89,11,6.262235
0.82,18,6.269663
-0.04,4,6.271337
5.9,10,6.275042
3.84,16,6.281367
5.89,11,6.28536
-0.01,1,6.285812
1.91,9,6.289675
-0.02,2,6.290569
-0.05,5,6.292547
-0.11,11,6.29686
