#{"t_start": 1787294889.65601, "env_id": "None"}
r,l,t,success,collision,max_y
-0.04,4,0.459479,False,True,1
-0.01,1,0.45964,False,True,1
0.78,22,0.460563,False,True,2
-0.22,22,0.46148,False,True,1
-0.13,13,0.46634,False,True,1
-0.02,2,0.467053,False,True,1
0.81,19,0.46788,False,True,2
-0.05,5,0.468125,False,True,1
3.85,15,0.469351,False,True,5
-0.01,1,0.469436,False,True,1
-0.06,6,0.469739,False,True,1
-0.2,20,0.470592,False,True,1
-0.08,8,0.471045,False,True,1
-0.19,19,0.472127,False,True,1
-0.14,14,0.472834,False,True,1
-0.23,23,0.473772,False,True,1
-0.03,3,0.474033,False,True,1
-0.03,3,0.474183,False,True,1
1.9,10,0.474625,False,True,3
-0.19,19,0.475413,False,True,1
0.85,15,0.476115,False,True,2
1.92,8,0.476482,False,True,3
1.94,6,0.476785,False,True,3
-0.03,3,0.476957,False,True,1
-0.19,19,0.477792,False,True,1
-0.26,26,0.478864,False,True,1
-0.06,6,0.479139,False,True,1
-0.1,10,0.479581,False,True,1
0.85,15,0.480293,False,True,2
-0.05,5,0.48053,False,True,1
1.9,10,0.480967,False,True,3
-0.02,2,0.481102,False,True,1
-0.48,48,0.483275,False,True,1
-0.04,4,0.483667,False,True,1
-0.15,15,0.48432,False,True,1
-0.06,6,0.484615,False,True,1
1.95,5,0.4851,False,True,3
-0.11,11,0.48562,False,True,1
-0.09,9,0.486024,False,True,1
-0.06,6,0.486324,False,True,1
-0.01,1,0.486506,False,True,1
-0.01,1,0.486587,False,True,1
-0.11,11,0.487092,False,True,1
-0.04,4,0.487307,False,True,1
-0.09,9,0.487788,False,True,1
-0.21,21,0.488686,False,True,1
-0.17,17,0.489411,False,True,1
-0.04,4,0.489618,False,True,1
-0.02,2,0.489806,False,True,1
-0.02,2,0.489941,False,True,1
1.78,22,0.49082,False,True,3
-0.05,5,0.49107,False,True,1
1.81,19,0.491933,False,True,3
0.81,19,0.492838,False,True,2
-0.02,2,0.493037,False,True,1
1.74,26,0.494561,False,True,3
