#{"t_start": 1787351472.142308, "env_id": "None"}
r,l,t,success,collision,max_y
-0.11,11,0.43735,False,True,1
-0.01,1,0.437534,False,True,1
-0.07,7,0.437917,False,True,1
1.6,40,0.439464,False,True,3
-0.01,1,0.443051,False,True,1
0.75,25,0.445548,False,True,2
2.72,28,0.446718,False,True,4
2.72,28,0.448085,False,True,4
-0.01,1,0.448833,False,True,1
0.93,7,0.449274,False,True,2
0.66,34,0.450703,False,True,2
2.61,39,0.452265,False,True,4
1.5,50,0.454417,False,True,3
-0.05,5,0.45474,False,True,1
1.88,12,0.455298,False,True,3
-0.07,7,0.455644,False,True,1
1.92,8,0.456131,False,True,3
-0.02,2,0.456308,False,True,1
-0.01,1,0.456415,False,True,1
-0.07,7,0.456777,False,True,1
2.37,63,0.459245,False,True,4
-0.12,12,0.459793,False,True,1
-0.06,6,0.460102,False,True,1
0.88,12,0.460656,False,True,2
0.94,6,0.461054,False,True,2
1.78,22,0.461943,False,True,3
1.64,36,0.463575,False,True,3
1.89,11,0.464129,False,True,3
2.93,7,0.464611,False,True,4
1.87,13,0.465217,False,True,3
-0.09,9,0.465651,False,True,1
-0.01,1,0.465766,False,True,1
-0.12,12,0.466406,False,True,1
0.97,3,0.466621,False,True,2
-0.03,3,0.466826,False,True,1
0.84,16,0.46756,False,True,2
0.89,11,0.468157,False,True,2
0.91,9,0.468614,False,True,2
-0.04,4,0.46885,False,True,1
-0.02,2,0.468999,False,True,1
-3.0,100,0.473077,False,False,3
-0.19,19,0.474016,False,True,1
0.97,3,0.474233,False,True,2
2.51,49,0.476129,False,True,4
1.83,17,0.477075,False,True,3
0.76,24,0.478115,False,True,2
0.7,30,0.479457,False,True,2
0.83,17,0.48024,False,True,2
1.94,6,0.480696,False,True,3
-0.01,1,0.480811,False,True,1
5.76,24,0.481788,False,True,7
-0.03,3,0.481991,False,True,1
2.76,24,0.483262,False,True,4
-0.01,1,0.483454,False,True,1
2.35,65,0.486087,False,True,4
2.37,63,0.489439,False,True,4
0.87,13,0.490121,False,True,2
0.92,8,0.490502,False,True,2
-0.09,9,0.490919,False,True,1
0.97,3,0.491137,False,True,2
3.76,24,0.492199,False,True,5
-0.22,22,0.49328,False,True,1
3.82,18,0.494132,False,True,5
-0.05,5,0.49445,False,True,1
0.87,13,0.495266,False,True,2
0.97,3,0.495474,False,True,2
0.92,8,0.495872,False,True,2
0.8,20,0.496712,False,True,2
1.31,69,0.499491,False,True,3
-0.05,5,0.499784,False,True,1
-0.05,5,0.500058,False,True,1
0.82,18,0.50081,False,True,2
1.8,20,0.501764,False,True,3
-0.12,12,0.502291,False,True,1
0.78,22,0.503354,False,True,2
-0.14,14,0.504055,False,True,1
2.83,17,0.504949,False,True,4
0.91,9,0.505383,False,True,2
0.91,9,0.505841,False,True,2
2.09,91,0.509303,False,True,4
-0.06,6,0.509753,False,True,1
-0.04,4,0.51002,False,True,1
0.78,22,0.510973,False,True,2
0.95,5,0.511264,False,True,2
0.91,9,0.511795,False,True,2
0.97,3,0.51197,False,True,2
1.83,17,0.512689,False,True,3
4.25,75,0.515567,False,True,6
0.73,27,0.516797,False,True,2
0.95,5,0.517061,False,True,2
0.69,31,0.518271,False,True,2
0.95,5,0.51854,False,True,2
3.89,11,0.519114,False,True,5
5.77,23,0.520091,False,True,7
0.86,14,0.520679,False,True,2
1.76,24,0.521624,False,True,3
0.72,28,0.522792,False,True,2
-0.2,20,0.523585,False,True,1
1.94,6,0.523903,False,True,3
-0.04,4,0.524129,False,True,1
2.82,18,0.524947,False,True,4
1.25,75,0.528044,False,True,3
-0.03,3,0.528357,False,True,1
-0.09,9,0.52879,False,True,1
-0.18,18,0.529712,False,True,1
1.84,16,0.530389,False,True,3
0.93,7,0.530745,False,True,2
0.92,8,0.531123,False,True,2
-0.01,1,0.531328,False,True,1
-0.02,2,0.531505,False,True,1
1.9,10,0.531987,False,True,3
-0.1,10,0.532443,False,True,1
1.53,47,0.53481,False,True,3
0.77,23,0.536004,False,True,2
0.7,30,0.537239,False,True,2
-0.07,7,0.537609,False,True,1
-4.0,100,0.541434,False,False,2
-0.21,21,0.542376,False,True,1
-0.14,14,0.54306,False,True,1
1.81,19,0.543897,False,True,3
-0.02,2,0.544244,False,True,1
0.91,9,0.544778,False,True,2
0.81,19,0.545658,False,True,2
0.91,9,0.546083,False,True,2
-0.02,2,0.546367,False,True,1
1.57,43,0.548005,False,True,3
2.71,29,0.549192,False,True,4
-0.05,5,0.549452,False,True,1
-0.01,1,0.549628,False,True,1
-0.04,4,0.549897,False,True,1
0.78,22,0.550793,False,True,2
1.12,88,0.554072,False,True,3
1.34,66,0.556767,False,True,3
-0.03,3,0.55704,False,True,1
3.7,30,0.558229,False,True,5
1.72,28,0.55936,False,True,3
-0.03,3,0.559687,False,True,1
3.78,22,0.56079,False,True,5
2.9,10,0.561287,False,True,4
1.79,21,0.562145,False,True,3
-0.03,3,0.562476,False,True,1
-0.17,17,0.563198,False,True,1
0.43,57,0.565349,False,True,2
0.87,13,0.565939,False,True,2
1.93,7,0.566385,False,True,3
2.4,60,0.568892,False,True,4
1.87,13,0.569542,False,True,3
-0.18,18,0.570292,False,True,1
-0.07,7,0.570797,False,True,1
-0.2,20,0.571659,False,True,1
0.8,20,0.572484,False,True,2
-0.09,9,0.57291,False,True,1
0.7,30,0.574206,False,True,2
1.81,19,0.574989,False,True,3
0.96,4,0.575225,False,True,2
0.88,12,0.575767,False,True,2
-0.05,5,0.576237,False,True,1
0.44,56,0.578791,False,True,2
-0.12,12,0.579383,False,True,1
0.65,35,0.580768,False,True,2
1.87,13,0.58146,False,True,3
2.82,18,0.582208,False,True,4
0.87,13,0.582814,False,True,2
3.72,28,0.583964,False,True,5
-0.05,5,0.58433,False,True,1
0.6,40,0.585926,False,True,2
-3.0,100,0.589786,False,False,3
-0.23,23,0.590778,False,True,1
-0.26,26,0.59192,False,True,1
0.91,9,0.592336,False,True,2
-0.05,5,0.592617,False,True,1
-0.13,13,0.593196,False,True,1
0.89,11,0.593774,False,True,2
-0.04,4,0.594033,False,True,1
-0.04,4,0.594272,False,True,1
1.96,4,0.594499,False,True,3
1.96,4,0.594797,False,True,3
2.71,29,0.595907,False,True,4
0.93,7,0.596269,False,True,2
1.81,19,0.597101,False,True,3
0.89,11,0.597808,False,True,2
2.76,24,0.598768,False,True,4
-0.05,5,0.599057,False,True,1
-0.02,2,0.599225,False,True,1
0.95,5,0.599572,False,True,2
1.94,6,0.599892,False,True,3
0.8,20,0.600737,False,True,2
-0.04,4,0.600961,False,True,1
1.72,28,0.602204,False,True,3
0.95,5,0.602525,False,True,2
0.95,5,0.602826,False,True,2
0.94,6,0.603152,False,True,2
2.93,7,0.603579,False,True,4
-0.08,8,0.603964,False,True,1
2.83,17,0.604687,False,True,4
1.86,14,0.605306,False,True,3
0.91,9,0.605787,False,True,2
1.88,12,0.606313,False,True,3
0.62,38,0.607807,False,True,2
-0.05,5,0.608071,False,True,1
0.91,9,0.608571,False,True,2
0.67,33,0.610075,False,True,2
0.87,13,0.610734,False,True,2
1.85,15,0.61142,False,True,3
0.93,7,0.611882,False,True,2
0.88,12,0.612417,False,True,2
-0.18,18,0.613211,False,True,1
0.77,23,0.614158,False,True,2
0.69,31,0.615439,False,True,2
0.84,16,0.616131,False,True,2
-0.1,10,0.616602,False,True,1
1.91,9,0.617047,False,True,3
-0.21,21,0.618169,False,True,1
2.91,9,0.61871,False,True,4
2.64,36,0.620136,False,True,4
0.97,3,0.620321,False,True,2
-0.03,3,0.620619,False,True,1
-0.03,3,0.620834,False,True,1
0.8,20,0.621662,False,True,2
0.31,69,0.624511,False,True,2
0.93,7,0.624963,False,True,2
2.78,22,0.625894,False,True,4
1.43,57,0.628158,False,True,3
0.92,8,0.628541,False,True,2
0.93,7,0.628963,False,True,2
-0.09,9,0.629402,False,True,1
1.82,18,0.630149,False,True,3
2.84,16,0.630835,False,True,4
-0.01,1,0.631004,False,True,1
3.79,21,0.63191,False,True,5
-0.05,5,0.632178,False,True,1
0.64,36,0.633597,False,True,2
0.81,19,0.634533,False,True,2
-0.01,1,0.634687,False,True,1
-0.28,28,0.635904,False,True,1
1.85,15,0.63666,False,True,3
-0.28,28,0.637978,False,True,1
0.96,4,0.638225,False,True,2
0.88,12,0.63877,False,True,2
-0.04,4,0.639024,False,True,1
-0.01,1,0.6392,False,True,1
-0.29,29,0.640412,False,True,1
1.57,43,0.64213,False,True,3
0.95,5,0.642406,False,True,2
-0.02,2,0.642666,False,True,1
0.76,24,0.643779,False,True,2
2.49,51,0.64595,False,True,4
0.8,20,0.646795,False,True,2
-0.05,5,0.647192,False,True,1
-0.03,3,0.647371,False,True,1
-0.07,7,0.647717,False,True,1
2.87,13,0.648283,False,True,4
-0.04,4,0.648654,False,True,1
-0.08,8,0.649076,False,True,1
-3.0,100,0.653027,False,False,3
-0.04,4,0.653371,False,True,1
-0.07,7,0.653953,False,True,1
-0.06,6,0.65431,False,True,1
1.79,21,0.655184,False,True,3
0.87,13,0.655764,False,True,2
0.81,19,0.656652,False,True,2
1.31,69,0.659183,False,True,3
1.92,8,0.659546,False,True,3
-0.14,14,0.660182,False,True,1
0.92,8,0.660646,False,True,2
-0.03,3,0.660835,False,True,1
0.57,43,0.662479,False,True,2
1.84,16,0.663164,False,True,3
-0.06,6,0.663679,False,True,1
-0.03,3,0.663905,False,True,1
1.97,3,0.664102,False,True,3
0.86,14,0.664719,False,True,2
0.88,12,0.665388,False,True,2
2.91,9,0.66582,False,True,4
-0.07,7,0.666164,False,True,1
0.61,39,0.667717,False,True,2
0.31,69,0.670869,False,True,2
-0.04,4,0.671186,False,True,1
-0.03,3,0.671373,False,True,1
2.43,57,0.673572,False,True,4
-0.18,18,0.674397,False,True,1
0.97,3,0.674602,False,True,2
-0.09,9,0.67502,False,True,1
-0.04,4,0.675259,False,True,1
-0.06,6,0.675633,False,True,1
0.92,8,0.676011,False,True,2
5.74,26,0.677057,False,True,7
-0.05,5,0.677327,False,True,1
-0.01,1,0.677513,False,True,1
-0.07,7,0.67786,False,True,1
0.94,6,0.678175,False,True,2
-0.05,5,0.678437,False,True,1
1.88,12,0.67905,False,True,3
-0.07,7,0.679394,False,True,1
1.9,10,0.679833,False,True,3
-0.01,1,0.679958,False,True,1
1.76,24,0.680999,False,True,3
-0.06,6,0.681294,False,True,1
3.63,37,0.682753,False,True,5
-0.02,2,0.682913,False,True,1
0.96,4,0.683214,False,True,2
-0.21,21,0.684221,False,True,1
0.9,10,0.684812,False,True,2
-0.11,11,0.68535,False,True,1
1.8,20,0.686309,False,True,3
0.91,9,0.686737,False,True,2
-0.01,1,0.686847,False,True,1
-0.05,5,0.687112,False,True,1
0.87,13,0.687747,False,True,2
1.73,27,0.688843,False,True,3
-0.07,7,0.6892,False,True,1
1.82,18,0.689963,False,True,3
