#{"t_start": 1787347883.304877, "env_id": "None"}
r,l,t,success,collision,max_y
-0.04,4,0.454433,False,True,1
0.88,12,0.457372,False,True,2
1.9,10,0.45948,False,True,3
0.93,7,0.460903,False,True,2
-0.08,8,0.462465,False,True,1
-0.03,3,0.46312,False,True,1
2.53,47,0.47259,False,True,4
1.93,7,0.473976,False,True,3
-0.03,3,0.474618,False,True,1
1.83,17,0.478141,False,True,3
-0.31,31,0.484974,False,True,1
-0.12,12,0.487825,False,True,1
1.85,15,0.490995,False,True,3
5.72,28,0.496315,False,True,7
2.79,21,0.500441,False,True,4
0.89,11,0.502573,False,True,2
-0.25,25,0.507452,False,True,1
4.75,25,0.512295,False,True,6
2.89,11,0.514442,False,True,4
-0.02,2,0.514912,False,True,1
0.94,6,0.51611,False,True,2
0.91,9,0.51788,False,True,2
0.93,7,0.519254,False,True,2
-0.15,15,0.522057,False,True,1
1.67,33,0.528268,False,True,3
2.49,51,0.537855,False,True,4
0.74,26,0.543415,False,True,2
0.53,47,0.552495,False,True,2
0.92,8,0.554086,False,True,2
0.94,6,0.555306,False,True,2
-0.03,3,0.55605,False,True,1
0.79,21,0.560149,False,True,2
-0.08,8,0.56178,False,True,1
0.88,12,0.564103,False,True,2
-0.01,1,0.564388,False,True,1
0.9,10,0.566316,False,True,2
-0.07,7,0.567995,False,True,1
-0.04,4,0.569018,False,True,1
-0.08,8,0.570596,False,True,1
-0.06,6,0.572054,False,True,1
-0.04,4,0.573079,False,True,1
2.37,63,0.584865,False,True,4
0.91,9,0.586642,False,True,2
2.34,66,0.599,False,True,4
2.35,65,0.610981,False,True,4
-0.11,11,0.613409,False,True,1
1.85,15,0.616548,False,True,3
0.98,2,0.617077,False,True,2
0.74,26,0.622172,False,True,2
-0.15,15,0.625077,False,True,1
2.83,17,0.628187,False,True,4
1.82,18,0.631494,False,True,3
0.81,19,0.635386,False,True,2
1.82,18,0.638834,False,True,3
1.56,44,0.646924,False,True,3
-0.03,3,0.647564,False,True,1
-0.11,11,0.649657,False,True,1
1.43,57,0.660434,False,True,3
0.59,41,0.668247,False,True,2
-0.09,9,0.670011,False,True,1
-0.04,4,0.670863,False,True,1
-0.2,20,0.674778,False,True,1
-0.11,11,0.676871,False,True,1
-0.04,4,0.677683,False,True,1
-0.01,1,0.677954,False,True,1
0.75,25,0.682495,False,True,2
-0.17,17,0.685592,False,True,1
-0.08,8,0.687094,False,True,1
1.94,6,0.688259,False,True,3
-0.05,5,0.68923,False,True,1
-0.19,19,0.692666,False,True,1
-0.08,8,0.694359,False,True,1
0.83,17,0.697707,False,True,2
0.95,5,0.698703,False,True,2
0.63,37,0.705327,False,True,2
1.44,56,0.715759,False,True,3
2.53,47,0.725337,False,True,4
-0.14,14,0.728506,False,True,1
3.81,19,0.73299,False,True,5
2.77,23,0.737912,False,True,4
-0.14,14,0.741067,False,True,1
-0.01,1,0.741395,False,True,1
0.83,17,0.744596,False,True,2
0.96,4,0.745414,False,True,2
0.83,17,0.749126,False,True,2
3.76,24,0.753968,False,True,5
0.85,15,0.757312,False,True,2
-0.01,1,0.757654,False,True,1
0.73,27,0.763055,False,True,2
-0.06,6,0.764522,False,True,1
0.95,5,0.765589,False,True,2
-0.08,8,0.767628,False,True,1
0.92,8,0.769305,False,True,2
0.8,20,0.773649,False,True,2
0.94,6,0.77488,False,True,2
0.94,6,0.776243,False,True,2
-0.05,5,0.777507,False,True,1
1.68,32,0.783621,False,True,3
-0.07,7,0.785009,False,True,1
1.83,17,0.788494,False,True,3
2.6,40,0.796172,False,True,4
-0.46,46,0.804893,False,True,1
-0.01,1,0.805182,False,True,1
-0.03,3,0.805809,False,True,1
0.98,2,0.806365,False,True,2
1.92,8,0.808121,False,True,3
0.81,19,0.811775,False,True,2
-0.07,7,0.81316,False,True,1
0.98,2,0.813754,False,True,2
-0.05,5,0.814871,False,True,1
-0.08,8,0.816633,False,True,1
0.94,6,0.817871,False,True,2
-0.04,4,0.8187,False,True,1
1.82,18,0.822079,False,True,3
-0.14,14,0.824916,False,True,1
0.98,2,0.825424,False,True,2
0.91,9,0.827127,False,True,2
-0.1,10,0.829062,False,True,1
-0.02,2,0.829518,False,True,1
0.87,13,0.83227,False,True,2
-0.03,3,0.832958,False,True,1
0.64,36,0.839598,False,True,2
-0.1,10,0.841838,False,True,1
-0.01,1,0.842167,False,True,1
