#{"t_start": 1787384819.213256, "env_id": "None"}
r,l,t,success,collision,max_y
-0.03,3,0.465461,False,True,1
1.66,34,0.47254,False,True,3
1.78,22,0.476403,False,True,3
3.59,41,0.48572,False,True,5
0.89,11,0.487836,False,True,2
0.8,20,0.491802,False,True,2
-0.26,26,0.496813,False,True,1
-0.02,2,0.497301,False,True,1
0.95,5,0.498216,False,True,2
1.87,13,0.500453,False,True,3
-0.04,4,0.501244,False,True,1
-0.17,17,0.504438,False,True,1
5.84,16,0.507396,False,True,7
0.74,26,0.511951,False,True,2
-0.09,9,0.513527,False,True,1
1.64,36,0.519915,False,True,3
0.83,17,0.523008,False,True,2
1.66,34,0.52891,False,True,3
0.76,24,0.532979,False,True,2
-0.01,1,0.533468,False,True,1
0.66,34,0.540056,False,True,2
-0.02,2,0.540553,False,True,1
0.89,11,0.542553,False,True,2
0.75,25,0.547506,False,True,2
-0.01,1,0.547846,False,True,1
0.86,14,0.550248,False,True,2
-0.04,4,0.550999,False,True,1
2.76,24,0.555338,False,True,4
2.92,8,0.556874,False,True,4
0.93,7,0.558158,False,True,2
0.97,3,0.558748,False,True,2
0.97,3,0.559324,False,True,2
1.82,18,0.562383,False,True,3
0.79,21,0.565944,False,True,2
-0.01,1,0.566193,False,True,1
3.9,10,0.567945,False,True,5
-0.07,7,0.569334,False,True,1
0.96,4,0.570158,False,True,2
1.96,4,0.571058,False,True,3
-0.33,33,0.576689,False,True,1
-0.01,1,0.576942,False,True,1
0.93,7,0.578175,False,True,2
0.94,6,0.579744,False,True,2
1.84,16,0.58278,False,True,3
-3.0,100,0.600125,False,False,3
-0.03,3,0.601003,False,True,1
-0.12,12,0.603151,False,True,1
0.81,19,0.606778,False,True,2
-0.03,3,0.607437,False,True,1
1.84,16,0.610157,False,True,3
0.92,8,0.611929,False,True,2
0.89,11,0.613932,False,True,2
2.77,23,0.617843,False,True,4
3.68,32,0.623486,False,True,5
-4.0,100,0.64055,False,False,2
0.95,5,0.641657,False,True,2
0.88,12,0.6438,False,True,2
-4.0,100,0.661394,False,False,2
-0.08,8,0.663273,False,True,1
-0.02,2,0.663726,False,True,1
1.84,16,0.666823,False,True,3
2.73,27,0.671713,False,True,4
2.88,12,0.673835,False,True,4
-0.09,9,0.675427,False,True,1
-0.03,3,0.676024,False,True,1
-0.02,2,0.676527,False,True,1
0.93,7,0.677864,False,True,2
-0.11,11,0.681431,False,True,1
1.6,40,0.688513,False,True,3
0.96,4,0.689335,False,True,2
-0.03,3,0.690014,False,True,1
0.96,4,0.690841,False,True,2
1.88,12,0.692925,False,True,3
-0.14,14,0.696892,False,True,1
0.73,27,0.702945,False,True,2
-0.04,4,0.703825,False,True,1
1.94,6,0.705405,False,True,3
0.97,3,0.706069,False,True,2
0.94,6,0.707238,False,True,2
-0.15,15,0.709991,False,True,1
0.85,15,0.713696,False,True,2
0.54,46,0.723781,False,True,2
0.88,12,0.725939,False,True,2
0.58,42,0.734428,False,True,2
-0.17,17,0.737722,False,True,1
2.83,17,0.741296,False,True,4
0.82,18,0.744438,False,True,2
-0.18,18,0.748164,False,True,1
0.93,7,0.749805,False,True,2
-0.25,25,0.755144,False,True,1
-0.02,2,0.755603,False,True,1
3.89,11,0.757617,False,True,5
0.95,5,0.75859,False,True,2
0.77,23,0.762902,False,True,2
0.84,16,0.765927,False,True,2
-0.05,5,0.766881,False,True,1
-0.02,2,0.767303,False,True,1
-0.4,40,0.774476,False,True,1
0.75,25,0.778879,False,True,2
1.84,16,0.782718,False,True,3
2.84,16,0.785593,False,True,4
-0.29,29,0.790739,False,True,1
0.73,27,0.795648,False,True,2
1.8,20,0.799393,False,True,3
1.69,31,0.804978,False,True,3
1.7,30,0.810701,False,True,3
-0.08,8,0.812213,False,True,1
0.94,6,0.813685,False,True,2
-0.12,12,0.816037,False,True,1
0.47,53,0.825643,False,True,2
3.71,29,0.830487,False,True,5
